Project,Scenario,Dollar_year,Weather_year,Start_day,gea,country,tz,t
Cambium_2022,MidCase100by2035,2021$,2012,Sunday,MROWc,usa,CT,2030
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2030-01-01 01:00:00,2030-01-01 00:00:00,19124.4,1159.3,0.0,191.8,20475.4,18509.7,-4146.9,8624.0,16223.2,0.0321,0.0418,1.0,1.0,0.6,0.1,0.01,0.6,2.7,0.01,0.6,0.7,1.3,0.1,0.0,0.0,0.8,2.2,0.02,0.1,0.9,1.0,31.6,1.0,0.12,3.5,148.0,0.02,31.7,7.9,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28074.6,24622.3,0.4,44.8,0.0,1391.6,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,0.0,24622.3,0.0
2030-01-01 02:00:00,2030-01-01 01:00:00,18531.2,687.6,0.0,164.5,19383.3,17941.4,-2592.5,7952.4,13996.8,0.0318,0.0404,1.0,1.0,0.7,0.1,0.01,0.6,2.9,0.01,0.7,0.7,1.4,0.1,0.0,0.0,0.9,2.3,0.02,0.1,0.9,1.1,29.8,0.8,0.1,3.4,142.4,0.02,29.8,7.7,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25427.7,21975.8,0.0,44.8,0.0,1391.6,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,0.0,21975.8,0.0
2030-01-01 03:00:00,2030-01-01 02:00:00,18223.8,1008.4,0.0,173.7,19405.9,17646.7,-2452.9,7853.0,14610.3,0.0317,0.0397,1.0,1.0,0.7,0.1,0.01,0.6,2.9,0.01,0.7,0.7,1.4,1.0,0.1,0.02,0.9,4.3,0.02,1.0,1.0,2.0,29.4,0.8,0.1,3.5,141.1,0.02,29.4,7.7,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26163.2,21858.8,852.6,44.8,0.0,1391.6,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,0.0,21858.8,0.0
2030-01-01 04:00:00,2030-01-01 03:00:00,18111.9,938.8,0.0,172.2,19222.8,17539.8,-2511.0,7429.6,14315.0,0.0316,0.0394,1.0,1.0,0.7,0.1,0.01,0.6,2.9,0.01,0.7,0.7,1.4,1.5,0.2,0.02,0.9,5.3,0.02,1.5,1.1,2.6,29.2,0.8,0.09,3.4,140.3,0.02,29.3,7.6,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26108.2,21733.7,922.6,44.8,0.0,1391.6,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,0.0,21733.7,0.0
2030-01-01 05:00:00,2030-01-01 04:00:00,18176.8,1195.9,0.0,172.3,19545.0,17602.8,-3478.8,7382.6,14314.7,0.0316,0.0395,1.0,1.0,0.7,0.1,0.01,0.6,2.8,0.01,0.7,0.7,1.4,0.1,0.0,0.0,0.9,2.4,0.02,0.1,1.0,1.1,42.2,1.5,0.19,4.8,194.3,0.03,42.3,10.6,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26477.0,23023.8,1.3,44.8,0.0,1391.6,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,0.0,23023.8,0.0
2030-01-01 06:00:00,2030-01-01 05:00:00,18605.8,988.8,0.0,170.1,19764.7,18015.1,-1870.7,7346.9,14136.2,0.0318,0.0404,1.0,1.0,0.7,0.1,0.01,0.6,2.8,0.01,0.7,0.7,1.4,2.2,0.3,0.04,0.9,6.9,0.02,2.2,1.1,3.4,28.5,0.8,0.09,3.3,136.5,0.02,28.6,7.4,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26553.9,21635.5,1466.6,44.8,0.0,1391.6,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,0.0,21635.5,0.0
2030-01-01 07:00:00,2030-01-01 06:00:00,19259.7,522.2,0.0,182.8,19964.8,18642.3,-3665.4,8091.4,15376.0,0.0321,0.0418,1.0,1.0,0.6,0.1,0.01,0.6,2.7,0.01,0.6,0.7,1.3,0.3,0.0,0.0,0.8,2.6,0.02,0.3,0.9,1.2,41.5,1.5,0.19,4.5,190.1,0.02,41.6,10.1,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27249.4,23630.2,167.3,44.8,0.0,1391.6,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,0.0,23630.2,0.0
2030-01-01 08:00:00,2030-01-01 07:00:00,19918.2,1664.4,0.0,180.2,21762.7,19272.8,-3548.8,8267.0,15267.7,0.0324,0.0432,1.0,1.0,0.6,0.1,0.01,0.6,2.6,0.01,0.6,0.6,1.3,0.1,0.0,0.0,0.8,2.2,0.02,0.1,0.9,1.0,43.9,2.1,0.28,4.2,185.3,0.02,44.1,9.7,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28763.4,25311.5,0.0,44.8,0.0,1391.6,12.3,0.0,0.0,53.7,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,34.9,25222.8,0.0
2030-01-01 09:00:00,2030-01-01 08:00:00,20474.3,871.6,0.0,165.6,21511.5,19804.2,-1539.9,7840.6,13807.7,0.0327,0.0444,1.0,1.0,0.6,0.1,0.01,0.6,2.7,0.01,0.6,0.7,1.3,1.4,0.2,0.02,0.8,4.9,0.02,1.4,1.0,2.4,29.7,0.8,0.1,3.4,142.3,0.02,29.8,7.6,37.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27478.5,23051.4,975.3,44.8,0.0,1391.6,12.3,0.0,0.0,343.2,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,3795.1,18913.1,0.0
2030-01-01 10:00:00,2030-01-01 09:00:00,21266.0,2342.8,0.0,175.4,23784.2,20559.7,-2324.8,8605.1,14457.7,0.0332,0.0462,1.0,1.0,0.6,0.1,0.01,0.5,2.5,0.01,0.6,0.6,1.2,0.1,0.0,0.0,0.8,2.1,0.02,0.1,0.8,1.0,36.5,1.4,0.18,3.8,163.3,0.02,36.6,8.7,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29636.8,26109.0,75.9,44.8,0.0,1391.6,12.3,0.0,0.0,460.5,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,5781.9,19866.7,0.0
2030-01-01 11:00:00,2030-01-01 10:00:00,21865.3,1164.9,0.0,184.3,23214.6,21130.6,-2246.4,8959.9,15424.6,0.0336,0.0475,1.0,1.0,0.6,0.1,0.01,0.5,2.5,0.01,0.6,0.6,1.2,1.2,0.1,0.02,0.8,4.4,0.02,1.3,0.9,2.2,31.2,0.8,0.1,3.5,149.2,0.02,31.2,8.0,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29679.2,25461.0,766.3,44.8,0.0,1391.6,12.3,0.0,0.0,463.9,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,3960.0,21037.1,0.0
2030-01-01 12:00:00,2030-01-01 11:00:00,22354.0,1314.4,0.0,190.2,23858.6,21595.2,-3315.2,8974.6,16103.7,0.0339,0.0486,1.0,1.0,0.0,0.0,0.0,0.5,1.2,0.01,0.0,0.5,0.5,0.4,0.0,0.01,0.7,2.5,0.02,0.4,0.8,1.2,31.1,0.8,0.1,3.6,148.6,0.02,31.1,8.0,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30987.8,27173.9,374.4,44.8,0.0,1391.6,0.0,0.0,0.0,468.7,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,2772.4,23932.7,0.0
2030-01-01 13:00:00,2030-01-01 12:00:00,22742.3,369.1,0.0,190.1,23301.5,21964.0,-2392.7,9586.6,16256.0,0.0342,0.0495,1.0,1.0,0.0,0.0,0.0,0.5,1.2,0.01,0.0,0.6,0.6,1.1,0.1,0.02,0.7,4.2,0.02,1.2,0.9,2.0,33.3,1.0,0.13,3.7,156.2,0.02,33.4,8.4,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29970.9,25694.2,837.1,44.8,0.0,1391.6,0.0,0.0,0.0,371.9,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,2250.5,23071.8,0.0
2030-01-01 14:00:00,2030-01-01 13:00:00,22685.5,1369.2,0.0,179.0,24233.7,21909.9,-2732.1,8646.7,14818.4,0.0342,0.0494,1.0,1.0,0.0,0.0,0.0,0.5,1.2,0.01,0.0,0.6,0.6,0.0,0.0,0.0,0.7,1.7,0.01,0.0,0.8,0.8,39.1,1.0,0.13,4.5,189.4,0.02,39.2,10.2,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30405.4,26965.8,0.1,44.8,0.0,1391.6,0.0,0.0,0.0,1223.1,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,2380.0,23362.7,0.0
2030-01-01 15:00:00,2030-01-01 14:00:00,22653.3,80.0,0.0,200.5,22933.8,21879.4,-2875.4,9995.1,17075.7,0.0342,0.0493,1.0,1.0,0.0,0.0,0.0,0.5,1.2,0.01,0.0,0.6,0.6,1.1,0.1,0.02,0.7,3.9,0.01,1.1,0.8,1.9,29.4,0.8,0.1,3.4,140.9,0.02,29.5,7.6,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30014.4,25809.2,765.6,44.8,0.0,1391.6,0.0,0.0,0.0,1092.2,0.0,0.0,0.0,0.0,454.1,1549.0,0.0,0.0,0.0,1931.5,22785.5,0.0
