Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,raz,country,tz,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_scenarios_2021,MidCase95by2035,2020$,2012,Sunday,p105,IN,RFCWc,great_lakes,usa,ET,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Time,Load,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,MW,$/MW,MW,$/MW,MW,$/MW,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,imports,exports,distloss_rate_avg,distloss_rate_marg,spin_MW,spin_shadow_price,flex_MW,flex_shadow_price,reg_MW,reg_shadow_price,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,beccs_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh
1/1/2022 0:00,1/1/2022 0:00,6045.7,6036.5,5838.4,0,3922.5,0,0,9.2,1282.4,0,0.0328,0.0444,181.1,0,211.4,0,70.9,0,gas-cc,gas-cc,433.4,42,6.04,20.7,1194.8,0.21,436.2,54.2,490.4,394.3,37.1,5.33,21,1125.3,0.22,396.8,52.6,449.3,483.2,39.6,5.62,29.4,1559.7,0.23,485.8,73.1,558.9,383.6,7.2,0.72,45.3,2005.9,0.17,384,101.5,485.5,28.95,0,0,28.95,30.29,0,0,30.29,4763.3,2113.9,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,0,0,0,0,0
1/1/2022 1:00,1/1/2022 1:00,5956.5,5899.7,5707.6,0,3785.7,0,0,56.8,3172.2,1719.8,0.0326,0.0434,177,0,211.4,0,69.6,0,gas-cc,gas-cc,435.6,43.7,6.3,19.5,1154.7,0.21,438.5,51.8,490.3,343.2,33,4.75,18.1,957.6,0.2,345.4,45,390.4,444.7,33.3,4.68,30,1537.9,0.21,446.9,73.1,520,374.2,7.1,0.71,44.2,1956.8,0.16,374.6,99,473.6,27,0,0,27,28.23,0,0,28.23,4504.1,2113.9,0,1533.7,0,0,819.5,0,0,9.2,0,27.8,0,2113.9,0,0,0,0,0,0,0
1/1/2022 2:00,1/1/2022 2:00,5812.4,5749.9,5564.3,0,3636,0,0,62.5,3465,1903.8,0.0323,0.0423,172.5,0,211.4,0,68.1,0,gas-cc,gas-cc,404.4,39.9,5.75,18.7,1092,0.2,407,49.3,456.3,315.6,29.7,4.25,17.6,903.8,0.19,317.5,43,360.5,433,31.7,4.45,29.8,1519.1,0.2,435.1,72.4,507.5,373.8,7,0.7,44.2,1954.5,0.16,374.2,98.9,473.1,26.84,0,0,26.84,28.02,0,0,28.02,4251.2,2113.9,0,1307.5,0,0,792.8,0,0,9.2,0,27.8,0,2113.9,0,0,0,0,0,0,0
1/1/2022 3:00,1/1/2022 3:00,5739.5,5672,5489.7,0,3558.1,0,0,67.5,3674.8,2186.5,0.0322,0.0417,170.2,0,211.4,0,67.3,0,coal,coal,404.4,39.9,5.75,18.7,1092,0.2,407,49.3,456.3,312.1,29.2,4.19,17.6,898.4,0.19,314,42.8,356.8,418.8,30.1,4.22,29.4,1486.7,0.2,420.8,71.1,491.8,1027.6,118.3,17.21,31.7,2240.4,0.51,1035.5,94.5,1130,26.84,0,0,26.84,28.01,0,0,28.01,4251.2,2113.9,0,1307.5,0,0,792.8,0,0,9.2,0,27.8,0,2113.9,0,0,0,0,0,0,0
1/1/2022 4:00,1/1/2022 4:00,5735.5,5664,5482,0,3550.1,0,0,71.4,3877.8,2393.5,0.0321,0.0416,169.9,0,211.4,0,67.2,0,coal,coal,404.4,39.9,5.75,18.7,1092,0.2,407,49.3,456.3,308.9,28.8,4.12,17.6,893.6,0.19,310.8,42.7,353.4,419.7,30.3,4.24,29.3,1486,0.2,421.6,71,492.6,1191.7,137.2,19.96,36.7,2598.2,0.59,1200.8,109.6,1310.4,26.84,0,0,26.84,28,0,0,28,4251.2,2113.9,0,1307.5,0,0,792.8,0,0,9.2,0,27.8,0,2113.9,0,0,0,0,0,0,0
1/1/2022 5:00,1/1/2022 5:00,5770.4,5698,5514.5,0,3584.1,0,0,72.4,3945.5,2440.5,0.0322,0.0419,170.9,0,211.4,0,67.5,0,gas-cc,gas-cc,406.5,40.2,5.79,18.7,1095.8,0.2,409.2,49.4,458.6,309.1,28.8,4.12,17.6,894.3,0.19,311,42.7,353.7,434,32.3,4.54,29.4,1505.7,0.2,436.1,71.6,507.7,355.3,6.7,0.67,42,1858.1,0.15,355.7,94,449.7,26.9,0,0,26.9,28.08,0,0,28.08,4265.5,2113.9,0,1321.8,0,0,792.8,0,0,9.2,0,27.8,0,2113.9,0,0,0,0,0,0,0
1/1/2022 6:00,1/1/2022 6:00,5869.5,5800.8,5613,0,3686.9,0,0,68.7,3585.3,2479.1,0.0324,0.0426,174,0,211.4,0,68.6,0,gas-cc,gas-cc,433.4,42,6.04,20.7,1194.8,0.21,436.2,54.2,490.4,336.8,31.3,4.49,18.9,975,0.2,338.9,46.2,385.1,428.1,31,4.35,29.7,1510.6,0.2,430.1,72.1,502.2,358.1,6.7,0.68,42.3,1872.8,0.16,358.5,94.8,453.3,27.11,0,0,27.11,28.31,0,0,28.31,4763.3,2113.9,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,0,0,0,0,0
1/1/2022 7:00,1/1/2022 7:00,5975.4,5912.6,5720,0,3798.7,0,0,62.7,3364.9,2152.7,0.0326,0.0435,177.4,0,211.4,0,69.7,0,coal,coal,433.4,42,6.04,20.7,1194.8,0.21,436.2,54.2,490.4,340.3,31.8,4.55,18.9,981.1,0.2,342.4,46.4,388.8,442.6,33.9,4.79,29.1,1503,0.21,444.8,71.2,516,1166.4,134.3,19.54,35.9,2543.1,0.58,1175.4,107.3,1282.7,27.26,0,0,27.26,28.49,0,0,28.49,4763.3,2113.9,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,0,0,0,0,0
1/1/2022 8:00,1/1/2022 8:00,6094,6032.5,5834.6,0,3912.5,0,0,61.5,3336.4,2011.7,0.0328,0.0443,181,0,214.7,0,71.1,0,coal,coal,432.9,42,6.03,20.6,1193.3,0.21,435.6,54.1,489.7,340.2,31.8,4.56,18.8,978.8,0.2,342.3,46.3,388.6,338.6,24.2,3.39,23.9,1203.2,0.16,340.2,57.6,397.8,954.4,109.9,15.99,29.4,2080.8,0.47,961.7,87.8,1049.5,27.22,0,0,27.22,28.48,0,0,28.48,4769.3,2119.9,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,6,0,0,0,0
1/1/2022 9:00,1/1/2022 9:00,6282.4,6221.2,6014.8,0,4102.2,0,0,61.2,3402.7,1888.7,0.0332,0.0457,186.6,0,220.3,0,73.5,0,gas-cc,gas-cc,432.9,42,6.04,20.6,1193.6,0.21,435.7,54.1,489.8,336.3,31.5,4.51,18.6,967,0.2,338.4,45.7,384.1,246.5,18.8,2.65,16.4,836,0.12,247.7,39.8,287.6,394.1,7.4,0.74,46.6,2060.7,0.17,394.5,104.3,498.8,27.22,0,0,27.22,28.52,0,0,28.52,4768.3,2118.9,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,3.4,1.6,0,0,0
1/1/2022 10:00,1/1/2022 10:00,6435.2,6371.9,6158.6,0,4248.8,0,0,63.2,3564.9,1902.3,0.0335,0.0468,191.2,0,220.3,0,75,0,gas-cc,gas-cc,432.6,41.9,6.03,20.6,1192.5,0.21,435.3,54.1,489.4,331.2,30.9,4.43,18.4,954.9,0.19,333.2,45.2,378.4,224.6,17.8,2.52,14.4,739.7,0.11,225.8,35.1,260.9,382.5,7.2,0.72,45.2,2000.2,0.17,382.9,101.2,484.1,27.22,0,0,27.22,28.56,0,0,28.56,4772.5,2123.1,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,5.1,4.1,0,0,0
1/1/2022 11:00,1/1/2022 11:00,6514,6451.8,6234.7,0,4321.4,0,0,62.2,3621.6,1887.3,0.0337,0.0474,193.6,0,220.3,0,75.8,0,coal,coal,431.9,41.9,6.02,20.6,1190.7,0.21,434.7,54,488.7,328.3,30.5,4.37,18.5,951.2,0.2,330.4,45.2,375.5,230,17.5,2.47,15.3,779.6,0.11,231.2,37.2,268.4,1122.7,129.3,18.81,34.6,2447.8,0.56,1131.3,103.3,1234.6,27.25,0,0,27.25,28.61,0,0,28.61,4779.7,2130.4,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,10.1,6.3,0,0,0
1/1/2022 12:00,1/1/2022 12:00,6614.8,6558.6,6336.4,0,4411.5,0,0,56.1,3468.7,1650.4,0.0339,0.0482,196.8,0,220.3,0,76.8,0,coal,coal,430.4,41.7,6,20.5,1186.6,0.21,433.2,53.8,487,330,30.6,4.39,18.7,957.7,0.2,332.1,45.6,377.6,314.3,25.1,3.56,19.8,1031,0.15,315.9,48.7,364.6,1054.1,121.4,17.66,32.5,2298.2,0.52,1062.2,97,1159.1,27.45,0,0,27.45,28.85,0,0,28.85,4796.5,2147.1,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,21.2,11.9,0,0,0
1/1/2022 13:00,1/1/2022 13:00,6547.1,6493.7,6274.6,0,4316.1,0,0,53.3,3235.3,1515.2,0.0337,0.0477,194.8,0,220.3,0,76.2,0,coal,coal,427.7,41.5,5.96,20.4,1179.1,0.21,430.4,53.5,483.9,335.6,31.4,4.5,18.6,966,0.2,337.7,45.7,383.4,294,24.2,3.43,17.9,942.8,0.14,295.6,44.4,340,1117.3,128.7,18.72,34.4,2436,0.55,1125.9,102.8,1228.6,27.4,0,0,27.4,28.77,0,0,28.77,4827,2177.6,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,44.4,19.3,0,0,0
1/1/2022 14:00,1/1/2022 14:00,6520.9,6468.8,6250.8,0,4318.5,0,0,52.2,3228.2,1507,0.0337,0.0476,194.1,0,220.3,0,75.9,0,coal,coal,430.1,41.7,6,20.5,1185.8,0.21,432.9,53.8,486.6,335.3,31.3,4.49,18.7,967.6,0.2,337.4,45.9,383.3,297.8,25.3,3.6,17.4,930.1,0.15,299.4,43.5,343,1117.1,128.6,18.71,34.4,2435.6,0.55,1125.7,102.8,1228.4,27.4,0,0,27.4,28.77,0,0,28.77,4799.7,2150.3,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,17,19.3,0,0,0
1/1/2022 15:00,1/1/2022 15:00,6514.2,6461.8,6244.2,0,4338.4,0,0,52.4,3269.5,1528,0.0337,0.0475,193.9,0,220.3,0,75.9,0,coal,coal,432.5,41.9,6.03,20.6,1192.5,0.21,435.3,54.1,489.4,335.8,31.3,4.49,18.8,969.9,0.2,337.9,46.1,384,291.6,23.2,3.29,18.5,959.3,0.14,293.1,45.4,338.5,1083.9,124.8,18.16,33.4,2363.1,0.54,1092.2,99.7,1191.9,27.59,0,0,27.59,28.96,0,0,28.96,4772.7,2123.3,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,7.9,1.5,0,0,0
1/1/2022 16:00,1/1/2022 16:00,6659.7,6618.5,6393.4,0,4499.2,0,0,41.1,2689.7,798.8,0.034,0.0487,198.6,0,218.9,0,77.3,0,coal,coal,432.9,42,6.04,20.6,1193.5,0.21,435.7,54.1,489.8,360.9,34.2,4.91,19.2,1022.2,0.21,363.1,47.9,411,488.8,43,6.14,27.1,1484.3,0.23,491.6,68.7,560.3,1015.4,116.9,17.01,31.3,2213.9,0.5,1023.2,93.4,1116.6,28.61,0,0,28.61,30.08,0,0,30.08,4768.7,2119.4,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,2.8,2.6,0,0,0
1/1/2022 17:00,1/1/2022 17:00,7081.3,7042.9,6796.4,0,4928.7,0,0,38.4,2777.3,459.5,0.035,0.0518,211.3,0,217,0,81.4,0,coal,coal,433.4,42,6.04,20.7,1194.8,0.21,436.2,54.2,490.3,363.2,34.5,4.96,19.3,1026.1,0.21,365.4,48.1,413.5,471.2,37.6,5.32,29.6,1553.7,0.22,473.7,73.2,546.8,1157.4,133.3,19.39,35.7,2523.4,0.57,1166.3,106.5,1272.7,30.11,0,0,30.11,31.76,0,0,31.76,4763.5,2114.1,0,1548,0,0,1064.4,0,0,9.2,0,27.8,0,2113.9,0,0,0.1,0.1,0,0,0
