Project,Scenario,Dollar_year,Weather_year,Start_day,gea,country,tz,t
Cambium_2022,MidCase100by2035,2021$,2012,Sunday,RFCWc,usa,ET,2035
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2035-01-01 00:00:00,2035-01-01 00:00:00,54547.7,0.0,0.0,942.7,55490.4,52778.5,49210.8,59758.0,51050.4,0.0324,0.0434,0.89,0.87,-27.0,0.8,0.08,8.6,229.6,0.07,-26.9,15.4,-11.5,-34.9,1.0,0.1,10.8,278.6,0.1,-34.8,19.1,-15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4,2.8,0.32,28.9,544.2,0.13,92.6,45.1,137.7,11.45,0.0,0.0,11.45,11.96,0.0,0.0,11.96,46782.8,6279.7,21584.3,143.6,1671.4,0.0,0.0,0.0,0.0,0.0,0.0,5181.8,0.0,0.0,396.6,11525.5,0.0,0.0,0.0,0.0,6269.1,10.5
2035-01-01 01:00:00,2035-01-01 01:00:00,52201.2,0.0,0.0,1711.4,53912.7,50530.6,42344.8,106751.8,85163.4,0.032,0.0416,0.84,0.9,-39.1,1.2,0.12,11.7,330.6,0.09,-39.0,21.6,-17.4,-39.7,0.7,0.07,8.4,212.7,0.07,-39.6,14.8,-24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,32.6,0.12,0.0,28.2,28.2,8.58,0.0,0.0,8.58,8.91,0.0,0.0,8.91,32324.2,11567.8,4315.7,86.9,1671.4,0.0,0.0,0.0,0.0,0.0,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,0.0,11556.5,11.3
2035-01-01 02:00:00,2035-01-01 02:00:00,50791.6,0.0,0.0,1723.8,52515.4,49177.8,41001.7,106919.3,85767.8,0.0318,0.0405,0.83,0.9,-40.3,1.2,0.12,12.1,340.7,0.1,-40.2,22.3,-17.9,-40.7,0.7,0.07,8.3,207.9,0.07,-40.7,14.5,-26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,1.1,0.13,22.5,237.0,0.1,38.2,29.6,67.7,8.35,0.0,0.0,8.35,8.66,0.0,0.0,8.66,31363.9,11513.7,3409.4,86.9,1671.4,0.0,0.0,0.0,0.0,0.0,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,0.0,11501.9,11.8
2035-01-01 03:00:00,2035-01-01 03:00:00,49784.5,429.6,0.0,1725.3,51939.4,48210.1,40248.6,106762.3,86548.6,0.0316,0.0397,0.84,0.9,-39.8,1.2,0.12,11.9,336.8,0.09,-39.7,22.0,-17.7,-40.7,0.7,0.07,8.4,210.0,0.07,-40.6,14.7,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,24.4,0.12,0.0,18.8,18.8,8.29,0.0,0.0,8.29,8.67,0.0,0.0,8.67,31725.6,11690.8,3594.1,86.9,1671.4,0.0,0.0,0.0,0.0,0.0,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,0.0,11677.5,13.3
2035-01-01 04:00:00,2035-01-01 04:00:00,49298.6,0.0,0.0,1708.5,51007.1,47742.1,39219.4,105200.9,86501.3,0.0316,0.0394,0.84,0.9,-39.1,1.2,0.12,11.7,330.8,0.09,-39.0,21.6,-17.4,-40.2,0.7,0.07,8.5,213.2,0.07,-40.1,14.9,-25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,24.6,0.12,0.0,19.0,19.0,8.41,0.0,0.0,8.41,8.72,0.0,0.0,8.72,32307.5,11787.6,4079.1,86.9,1671.4,0.0,0.0,0.0,0.0,0.0,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,0.0,11771.0,16.6
2035-01-01 05:00:00,2035-01-01 05:00:00,49534.2,812.7,0.0,1731.1,52077.9,47967.9,40189.6,106458.1,87095.8,0.0316,0.0396,0.84,0.9,-38.6,1.1,0.11,11.6,326.6,0.09,-38.5,21.3,-17.2,-40.5,0.7,0.07,8.4,211.8,0.07,-40.4,14.8,-25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,33.2,0.13,0.0,28.8,28.8,8.31,0.0,0.0,8.31,8.75,0.0,0.0,8.75,32715.7,11888.4,4386.6,86.9,1671.4,0.0,0.0,0.0,0.0,0.0,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,0.0,11869.6,18.8
2035-01-01 06:00:00,2035-01-01 06:00:00,50574.8,481.5,0.0,1736.0,52792.3,48966.5,40866.0,106811.3,87503.2,0.0318,0.0404,0.85,0.9,-37.7,1.1,0.11,11.3,319.2,0.09,-37.6,20.8,-16.8,-41.3,0.7,0.07,8.5,213.8,0.07,-41.2,14.9,-26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.2,0.07,0.0,16.6,16.6,8.42,0.0,0.0,8.42,8.83,0.0,0.0,8.83,33484.2,11926.3,5116.5,86.9,1671.4,0.0,0.0,0.0,0.0,0.0,0.0,5181.8,0.0,0.0,355.2,9146.2,0.0,0.0,0.0,0.0,11906.1,20.2
2035-01-01 07:00:00,2035-01-01 07:00:00,51789.5,595.7,0.0,1530.5,53915.7,50132.3,41648.8,98636.0,74451.1,0.032,0.0414,0.83,0.9,-42.5,1.3,0.13,12.7,359.4,0.1,-42.4,23.5,-18.9,-41.9,0.8,0.08,8.6,215.7,0.07,-41.8,15.1,-26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,24.7,0.16,0.0,15.8,15.8,8.64,0.0,0.0,8.64,9.09,0.0,0.0,9.09,29730.8,12266.9,1023.2,86.9,1671.4,0.0,0.0,0.0,0.0,241.3,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,60.6,11944.5,20.5
2035-01-01 08:00:00,2035-01-01 08:00:00,53199.6,16492.3,0.0,981.1,70672.9,51483.3,51208.0,76084.3,41317.1,0.0323,0.0425,0.86,0.93,-35.2,1.0,0.1,10.5,297.6,0.08,-35.1,19.4,-15.7,-32.4,0.5,0.05,6.6,155.7,0.06,-32.4,11.3,-21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,32.1,0.12,0.0,27.8,27.8,7.76,0.0,0.0,7.76,7.63,0.0,0.0,7.63,35905.7,19464.9,0.0,86.9,1671.4,0.0,0.0,0.0,0.0,865.9,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,6629.9,11948.7,20.5
2035-01-01 09:00:00,2035-01-01 09:00:00,55181.6,18634.4,0.0,962.4,74778.4,53380.0,50627.7,74694.1,40507.1,0.0326,0.0441,0.87,0.93,-31.1,0.9,0.09,9.3,263.3,0.07,-31.0,17.2,-13.9,-31.2,0.5,0.05,6.3,150.2,0.05,-31.2,10.8,-20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,32.1,0.12,0.0,27.8,27.8,7.56,0.0,0.0,7.56,7.66,0.0,0.0,7.66,40591.5,24150.7,0.0,86.9,1671.4,0.0,0.0,0.0,0.0,742.7,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,11460.0,11927.6,20.5
2035-01-01 10:00:00,2035-01-01 10:00:00,57094.3,17988.0,0.0,1011.0,76093.3,55209.2,50218.9,76370.9,42592.8,0.033,0.0455,0.88,0.93,-29.8,0.9,0.09,8.9,252.5,0.07,-29.8,16.5,-13.3,-30.7,0.5,0.05,6.1,145.5,0.05,-30.6,10.5,-20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8,2.8,0.32,19.0,540.5,0.09,94.0,35.1,129.1,7.42,0.0,0.0,7.42,7.63,0.0,0.0,7.63,42315.2,25874.4,0.0,86.9,1671.4,0.0,0.0,0.0,0.0,1409.3,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,12482.2,11962.4,20.5
2035-01-01 11:00:00,2035-01-01 11:00:00,58712.9,16227.2,0.0,942.6,75882.7,56753.5,50130.4,75452.1,41762.4,0.0334,0.0468,0.88,0.93,-29.9,0.9,0.09,9.0,253.3,0.07,-29.9,16.5,-13.3,-29.9,0.5,0.05,6.1,142.6,0.05,-29.8,10.3,-19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,0.9,0.1,24.5,189.8,0.11,29.1,30.2,59.3,7.49,0.0,0.0,7.49,7.65,0.0,0.0,7.65,42193.1,25752.3,0.0,86.9,1671.4,0.0,0.0,0.0,0.0,1084.5,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,12680.5,11966.9,20.4
2035-01-01 12:00:00,2035-01-01 12:00:00,60701.1,15707.5,0.0,1028.6,77437.3,58648.0,51535.8,79072.8,43977.8,0.0338,0.0483,0.88,0.94,-29.8,0.9,0.09,8.9,252.4,0.07,-29.8,16.5,-13.3,-29.4,0.5,0.05,5.8,136.2,0.05,-29.4,9.9,-19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.5,3.3,0.38,18.2,631.1,0.08,110.7,37.0,147.7,7.55,0.0,0.0,7.55,7.65,0.0,0.0,7.65,42342.2,25901.5,0.0,86.9,1671.4,0.0,0.0,0.0,0.0,1144.7,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,12681.8,12054.5,20.4
2035-01-01 13:00:00,2035-01-01 13:00:00,61566.0,16866.3,0.0,1072.7,79505.0,59472.7,52384.0,81071.1,45127.8,0.034,0.049,0.88,0.94,-29.0,0.9,0.09,8.7,245.3,0.07,-28.9,16.0,-12.9,-29.1,0.5,0.05,5.7,130.8,0.05,-29.0,9.6,-19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.6,0.19,13.8,318.5,0.12,54.1,23.3,77.4,7.71,0.0,0.0,7.71,7.59,0.0,0.0,7.59,43561.7,27121.0,0.0,86.9,1671.4,0.0,0.0,0.0,0.0,2119.3,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,12868.6,12112.8,20.3
2035-01-01 14:00:00,2035-01-01 14:00:00,61774.0,19463.1,0.0,1036.3,82273.4,59671.4,53289.6,80397.1,43548.3,0.034,0.0491,0.89,0.94,-27.8,0.8,0.08,8.3,235.3,0.07,-27.7,15.4,-12.4,-27.9,0.4,0.04,5.5,127.6,0.05,-27.9,9.4,-18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.9,3.1,0.36,15.0,598.0,0.09,105.1,32.9,138.0,7.73,0.0,0.0,7.73,7.55,0.0,0.0,7.55,45424.5,28983.8,0.0,86.9,1671.4,0.0,0.0,0.0,0.0,2378.2,0.0,5181.8,0.0,0.0,354.5,9146.2,0.0,0.0,0.0,14450.7,12134.3,20.5
