Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,raz,country,tz,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_scenarios_2021,MidCase95by2035,2020$,2012,Sunday,p70,IA,MROWc,miso_east,usa,CT,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Time,Load,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,MW,$/MW,MW,$/MW,MW,$/MW,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,imports,exports,distloss_rate_avg,distloss_rate_marg,spin_MW,spin_shadow_price,flex_MW,flex_shadow_price,reg_MW,reg_shadow_price,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,beccs_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh
1/1/2022 1:00,1/1/2022 0:00,2820.3,2794.3,2705.8,0,-192.5,0,0,26,1088.3,1790.8,0.0317,0.0401,83.8,0,298.7,0,42.9,0,wind-ons,wind-ons,162.2,18.7,2.72,5,353.6,0.08,163.4,14.9,178.4,176.8,20.4,2.96,5.4,385.4,0.09,178.1,16.3,194.4,272.1,18.8,2.63,20.5,983.4,0.14,273.3,48.1,321.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522.8,2986.8,0,536.1,0,0,0,0,0,0,0,0,0,2986.8,0,0,0,0,0,0,0
1/1/2022 2:00,1/1/2022 1:00,2754.8,2729.2,2643.3,0,-257.5,0,0,25.6,1022.8,1790.8,0.0315,0.0392,81.9,0,298.7,0,42.2,0,wind-ons,wind-ons,162.2,18.7,2.72,5,353.6,0.08,163.4,14.9,178.4,178.1,20.5,2.98,5.5,388.2,0.09,179.4,16.4,195.8,212.5,13.1,1.82,17.6,812.7,0.11,213.3,40.4,253.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522.8,2986.8,0,536.1,0,0,0,0,0,0,0,0,0,2986.8,0,0,0,0,0,0,0
1/1/2022 3:00,1/1/2022 2:00,2724.8,2699.4,2614.6,0,-287.4,0,0,25.4,992.8,1790.8,0.0314,0.0387,81,0,298.7,0,41.9,0,wind-ons,wind-ons,162.2,18.7,2.72,5,353.6,0.08,163.4,14.9,178.4,177.5,20.4,2.97,5.5,387,0.09,178.9,16.3,195.2,213.5,13,1.79,17.9,824.1,0.11,214.3,41,255.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522.8,2986.8,0,536.1,0,0,0,0,0,0,0,0,0,2986.8,0,0,0,0,0,0,0
1/1/2022 4:00,1/1/2022 3:00,2696.9,2671.6,2588,0,-315.1,0,0,25.2,964.9,1790.8,0.0313,0.0383,80.1,0,298.7,0,41.7,0,wind-ons,wind-ons,162.2,18.7,2.72,5,353.6,0.08,163.4,14.9,178.4,177.5,20.4,2.97,5.5,387,0.09,178.8,16.3,195.2,212.2,12.6,1.75,18,827,0.11,213.1,41.2,254.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522.8,2986.8,0,536.1,0,0,0,0,0,0,0,0,0,2986.8,0,0,0,0,0,0,0
1/1/2022 5:00,1/1/2022 4:00,2759.1,2733.5,2647.4,0,-253.3,0,0,25.6,1027.1,1790.8,0.0315,0.0392,82,0,298.7,0,42.3,0,wind-ons,wind-ons,162.2,18.7,2.72,5,353.6,0.08,163.4,14.9,178.4,175,20.2,2.93,5.4,381.6,0.09,176.4,16.1,192.5,210.3,12.1,1.67,18.2,832.1,0.11,211.1,41.5,252.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522.8,2986.8,0,536.1,0,0,0,0,0,0,0,0,0,2986.8,0,0,0,0,0,0,0
1/1/2022 6:00,1/1/2022 5:00,2838.5,2812.4,2723.2,0,-174.3,0,0,26.1,1106.5,1790.8,0.0317,0.0404,84.4,0,298.7,0,43.1,0,wind-ons,wind-ons,162.2,18.7,2.72,5,353.6,0.08,163.4,14.9,178.4,173.3,20,2.9,5.3,377.8,0.09,174.6,15.9,190.6,217.6,12.8,1.76,18.6,854.9,0.11,218.4,42.5,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522.8,2986.8,0,536.1,0,0,0,0,0,0,0,0,0,2986.8,0,0,0,0,0,0,0
1/1/2022 7:00,1/1/2022 6:00,2937.3,2910.6,2817.3,0,-76.2,0,0,26.7,1205.3,1790.8,0.032,0.0418,87.3,0,298.7,0,44,0,wind-ons,wind-ons,162.2,18.7,2.72,5,353.6,0.08,163.4,14.9,178.4,172.2,19.8,2.88,5.3,375.4,0.09,173.5,15.8,189.3,244.6,15.1,2.09,20.2,939.7,0.12,245.6,46.5,292.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522.8,2986.8,0,536.1,0,0,0,0,0,0,0,0,0,2986.8,0,0,0,0,0,0,0
1/1/2022 8:00,1/1/2022 7:00,2998.5,2971.3,2875.5,0,-15.9,0,0,27.1,1265.9,1790.8,0.0322,0.0426,89.1,0,302.7,0,44.9,0,wind-ons,wind-ons,162.2,18.7,2.72,5,353.6,0.08,163.4,14.9,178.3,170.7,19.7,2.86,5.3,372.2,0.08,172,15.7,187.7,272.8,18.2,2.54,20.5,1004.5,0.13,273.9,48.7,322.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3523.3,2987.3,0,536.1,0,0,0,0,0,0,0,0,0,2986.8,0,0,0.5,0,0,0,0
1/1/2022 9:00,1/1/2022 8:00,3055,3027.9,2929.6,0,-19.1,0,0,27.1,1262.8,1790.8,0.0324,0.0435,90.8,0,305.4,0,45.7,0,wind-ons,wind-ons,159.5,18.4,2.67,4.9,347.7,0.08,160.7,14.7,175.4,165.2,19,2.77,5.1,360.1,0.08,166.4,15.2,181.6,280.2,19.3,2.71,20.5,1012.1,0.14,281.5,48.8,330.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3583,3047,0,536.1,0,0,0,0,0,0,0,0,0,2986.8,0,0,52.1,8.2,0,0,0
1/1/2022 10:00,1/1/2022 9:00,3099.8,3069.5,2969.4,0,-17.2,0,0,30.3,1347.4,1983.8,0.0326,0.0441,92.1,0,305.4,0,46.1,0,coal,coal,154.3,17.8,2.58,4.8,336.4,0.08,155.5,14.2,169.7,154.2,17.8,2.58,4.8,336.3,0.08,155.4,14.2,169.6,363.2,34.1,4.9,18.3,1028.3,0.18,365.5,47.2,412.7,937.3,107.9,15.7,28.9,2043.6,0.46,944.5,86.2,1030.7,17.82,0,0,17.82,18.64,0,0,18.64,3736.1,3086.7,0,541.7,0,0,0,0,0,104.4,0,3.3,0,2986.8,0,0,71.6,28.3,0,0,0
1/1/2022 11:00,1/1/2022 10:00,3126.8,3099.3,2997.9,0,15.2,0,0,27.5,1205.2,1841.9,0.0327,0.0445,93,0,305.4,0,46.4,0,coal,coal,160.2,18.5,2.68,5,349.4,0.08,161.4,14.8,176.2,159.9,18.4,2.68,4.9,348.6,0.08,161.1,14.7,175.8,365.6,34.1,4.9,18.6,1041.6,0.18,367.8,47.9,415.7,926.7,106.7,15.52,28.5,2020.4,0.46,933.8,85.2,1019,18.93,0,0,18.93,19.81,0,0,19.81,3763.5,3084.1,0,571.6,0,0,0,0,0,104.4,0,3.3,0,2986.8,0,0,64.9,32.4,0,0,0
1/1/2022 12:00,1/1/2022 11:00,3150.7,3122.8,3020.3,0,49.6,0,0,27.9,1217.9,1867.1,0.0328,0.0448,93.7,0,305.4,0,46.7,0,coal,coal,169.7,19.5,2.84,5.3,370.1,0.08,171,15.6,186.7,167,19.2,2.8,5.2,364.2,0.08,168.3,15.4,183.7,389.2,37.2,5.35,19,1082,0.19,391.6,49.4,441,1056.5,121.7,17.7,32.5,2303.5,0.52,1064.6,97.2,1161.8,21.33,0,0,21.33,22.33,0,0,22.33,3799.8,3073.2,0,619,0,0,0,0,0,104.4,0,3.3,0,2986.8,0,0,57.7,28.7,0,0,0
1/1/2022 13:00,1/1/2022 12:00,3160.4,3133.5,3030.5,0,60.8,0,0,26.9,1234.7,1790.8,0.0328,0.045,94,0,305.4,0,46.8,0,hydro,hydro,153.7,17.7,2.58,4.8,335.2,0.08,154.9,14.2,169.1,154.5,17.8,2.59,4.8,336.8,0.08,155.7,14.2,169.9,349.6,30.9,4.43,19.4,1049,0.17,351.7,48.8,400.4,0,0,0,0,0,0,0,0,0,1.41,0,0,1.41,1.48,0,0,1.48,3716.5,3072.7,0,536.1,0,0,0,0,0,104.4,0,3.3,0,2986.8,0,0,60,26,0,0,0
1/1/2022 14:00,1/1/2022 13:00,3157.9,3130.3,3027.5,0,99.3,0,0,27.7,1356.4,1790.8,0.0328,0.0449,93.9,0,305.4,0,46.7,0,hydro,hydro,159.1,18.3,2.66,4.9,346.8,0.08,160.3,14.7,174.9,157.7,18.2,2.64,4.9,343.8,0.08,158.9,14.5,173.4,343.5,30.4,4.35,19,1029,0.17,345.5,47.9,393.4,0,0,0,0,0,0,0,0,0,1.4,0,0,1.4,1.47,0,0,1.47,3592.4,3030.9,0,536.1,0,0,0,0,0,22,0,3.3,0,2986.8,0,0,26.4,17.8,0,0,0
1/1/2022 15:00,1/1/2022 14:00,3152.6,3124.9,3022.4,0,83.9,0,0,27.7,1363,1790.8,0.0328,0.0448,93.7,0,305.4,0,46.7,0,wind-ons,wind-ons,159.6,18.4,2.67,4.9,348,0.08,160.8,14.7,175.5,160,18.4,2.68,5,348.9,0.08,161.3,14.7,176,316.3,26.8,3.83,18.6,984.1,0.16,318,46.2,364.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3580.5,3041.1,0,536.1,0,0,0,0,0,0,0,3.3,0,2986.8,0,0,38.3,16,0,0,0
1/1/2022 16:00,1/1/2022 15:00,3196.4,3165.5,3061.1,0,162.7,0,0,31,1450.8,1983.8,0.033,0.0454,95,0,305.4,0,47.1,0,coal,coal,172.9,19.9,2.9,5.4,377.1,0.09,174.3,15.9,190.2,180.7,20.8,3.03,5.6,393.9,0.09,182.1,16.6,198.7,378.5,33.4,4.77,21,1141.8,0.19,380.7,53.1,433.8,1073.7,123.6,17.98,33.1,2340.9,0.53,1081.9,98.8,1180.6,21.57,0,0,21.57,22.6,0,0,22.6,3729.4,3002.7,0,619,0,0,0,0,0,104.4,0,3.3,0,2986.8,0,0,6.4,9.5,0,0,0
1/1/2022 17:00,1/1/2022 16:00,3353.2,3321.2,3209.5,0,332.9,0,0,32,1616.8,1983.8,0.0336,0.0477,99.6,0,301.4,0,48.3,0,coal,coal,174.6,20.1,2.92,5.4,380.7,0.09,175.9,16.1,192,197.8,22.8,3.31,6.1,431.3,0.1,199.3,18.2,217.6,404.6,33.5,4.76,24.4,1291.1,0.2,406.8,60.6,467.4,1015.9,117,17.02,31.3,2215,0.5,1023.7,93.5,1117.2,22.17,0,0,22.17,23.28,0,0,23.28,3720.1,2988.2,0,624.2,0,0,0,0,0,104.4,0,3.3,0,2986.8,0,0,0.3,1.2,0,0,0
1/1/2022 18:00,1/1/2022 17:00,3665.8,3635.8,3508.5,0,649,0,0,30.1,1738,1790.8,0.035,0.0522,109.1,0,298.7,0,51.3,0,coal,coal,174.7,20.1,2.93,5.4,380.9,0.09,176,16.1,192.1,197.8,22.8,3.31,6.1,431.4,0.1,199.4,18.2,217.6,384.3,30.7,4.35,24.2,1262.2,0.19,386.3,59.6,445.9,1027.2,118.3,17.21,31.6,2239.5,0.51,1035,94.5,1129.5,22.31,0,0,22.31,23.54,0,0,23.54,3718.7,2986.8,0,624.2,0,0,0,0,0,104.4,0,3.3,0,2986.8,0,0,0,0,0,0,0
1/1/2022 19:00,1/1/2022 18:00,3664.8,3634.7,3507.5,0,647.9,0,0,30.1,1742.2,1790.8,0.035,0.0522,109,0,298.7,0,51.3,0,coal,coal,173.7,20,2.91,5.4,378.7,0.09,175,16,191,178.4,20.5,2.99,5.5,388.9,0.09,179.7,16.4,196.2,479.9,44.5,6.39,24.6,1382,0.23,482.9,63.3,546.2,1073.5,123.6,17.98,33.1,2340.4,0.53,1081.7,98.7,1180.4,21.39,0,0,21.39,22.57,0,0,22.57,3713.5,2986.8,0,619,0,0,0,0,0,104.4,0,3.3,0,2986.8,0,0,0,0,0,0,0
