Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,raz,country,tz,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_scenarios_2021,MidCase95by2035,2020$,2012,Sunday,p87,MS,SRMVc,miso_south,usa,CT,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Time,Load,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,MW,$/MW,MW,$/MW,MW,$/MW,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,imports,exports,distloss_rate_avg,distloss_rate_marg,spin_MW,spin_shadow_price,flex_MW,flex_shadow_price,reg_MW,reg_shadow_price,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,beccs_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh
1/1/2022 1:00,1/1/2022 0:00,3254.3,3204.5,3103.3,0,3204.5,0,0,49.8,1662.7,1898.9,0.0316,0.0397,96.1,0,0,0,32,0,coal,coal,324.8,16.6,2.23,32.1,1374.2,0.22,325.9,70.6,396.5,369.7,25.7,3.58,29.6,1348.4,0.24,371.3,67.4,438.7,326.1,17.9,2.43,27.9,1333.1,0.15,327.2,65.2,392.4,1101.5,126.8,18.45,33.9,2401.5,0.55,1109.9,101.3,1211.2,27.77,0,0,27.77,28.91,0,0,28.91,3490.5,0,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2022 2:00,1/1/2022 1:00,3185.4,3134.6,3036.1,0,3134.6,0,0,50.8,1662.7,1967.8,0.0314,0.0389,94,0,0,0,31.3,0,coal,coal,324.8,16.6,2.23,32.1,1374.2,0.22,325.9,70.6,396.5,368.9,25.6,3.57,29.6,1347,0.24,370.5,67.3,437.9,329.9,18.5,2.52,27.8,1336.1,0.15,331.1,65.3,396.4,961.5,110.7,16.11,29.6,2096.3,0.48,968.9,88.4,1057.3,27.75,0,0,27.75,28.87,0,0,28.87,3490.5,0,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2022 3:00,1/1/2022 2:00,3133.1,3081.1,2984.8,0,3081.1,0,0,51.9,1719,2076.5,0.0313,0.0382,92.4,0,0,0,30.8,0,coal,coal,324.8,16.6,2.23,32.1,1374.2,0.22,325.9,70.6,396.5,367.8,25.5,3.56,29.5,1342.3,0.24,369.5,67.1,436.6,345.1,20.7,2.83,27.9,1356.5,0.16,346.4,66,412.4,951.8,109.6,15.94,29.3,2075.3,0.47,959.1,87.6,1046.7,27.74,0,0,27.74,28.84,0,0,28.84,3490.5,0,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2022 4:00,1/1/2022 3:00,3103.7,3049.1,2953.9,0,3049.1,0,0,54.6,1811.9,2198.7,0.0312,0.0378,91.5,0,0,0,30.5,0,coal,coal,324.8,16.6,2.23,32.1,1374.2,0.22,325.9,70.6,396.5,368.6,25.7,3.58,29.4,1342,0.24,370.3,67,437.4,340.6,19.9,2.72,28,1355,0.16,341.9,66,407.9,1122.7,129.3,18.81,34.6,2447.8,0.56,1131.3,103.3,1234.6,27.74,0,0,27.74,28.83,0,0,28.83,3490.5,0,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2022 5:00,1/1/2022 4:00,3108.2,3054,2958.6,0,3054,0,0,54.2,1801.8,2184.1,0.0312,0.0379,91.6,0,0,0,30.5,0,phs,coal,324.8,16.6,2.23,32.1,1374.2,0.22,325.9,70.6,396.5,368.6,25.6,3.58,29.4,1343.8,0.24,370.3,67.1,437.4,335.2,19,2.59,28.1,1350.5,0.15,336.4,65.9,402.4,1094,126,18.32,33.7,2385.2,0.54,1102.4,100.6,1203,27.77,0,0,27.77,28.86,0,0,28.86,3490.5,0,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2022 6:00,1/1/2022 5:00,3154.7,3104.5,3007.2,0,3104.5,0,0,50.2,1662.7,1998.5,0.0313,0.0385,93.1,0,0,0,31,0,coal,coal,324.8,16.6,2.23,32.1,1374.2,0.22,325.9,70.6,396.5,368.7,25.6,3.57,29.5,1346.4,0.24,370.4,67.3,437.7,333.8,18.7,2.55,28.2,1352.1,0.15,335,66.1,401.1,1187.7,136.8,19.89,36.6,2589.4,0.59,1196.8,109.2,1306,27.77,0,0,27.77,28.88,0,0,28.88,3490.5,0,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2022 7:00,1/1/2022 6:00,3221.5,3172.4,3072.5,0,3172.4,0,0,49.1,1670.2,1939.2,0.0315,0.0393,95.2,0,0,0,31.7,0,coal,coal,324.8,16.6,2.23,32.1,1374.2,0.22,325.9,70.6,396.5,370.1,25.7,3.59,29.6,1349.7,0.24,371.7,67.4,439.2,304.4,16,2.15,26.7,1267.4,0.14,305.4,62.2,367.6,1192.6,137.3,19.98,36.7,2600.2,0.59,1201.7,109.7,1311.4,27.77,0,0,27.77,28.9,0,0,28.9,3490.5,0,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2022 8:00,1/1/2022 7:00,3308.6,3260.8,3157.4,0,3206.7,0,0,47.8,1662.7,1898.7,0.0317,0.0404,97.8,0,8.9,0,33.3,0,phs,coal,319.9,16.4,2.2,31.6,1353.2,0.22,320.9,69.5,390.4,363.7,25.1,3.51,29.2,1329.8,0.23,365.3,66.5,431.8,321.5,17.1,2.32,27.9,1330.1,0.15,322.6,65.2,387.8,1096.9,126.3,18.37,33.8,2391.5,0.54,1105.3,100.9,1206.2,27.77,0,0,27.77,28.93,0,0,28.93,3544.6,54.1,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,53.9,0.3,0,0,0
1/1/2022 9:00,1/1/2022 8:00,3413.5,3371.5,3263.5,0,3256.8,0,0,42,1478,1669.7,0.032,0.0418,101.1,0,8.9,0,34.4,0,gas-cc,gas-cc,314.5,16.1,2.16,31.1,1330.5,0.22,315.5,68.4,383.9,376.6,26.3,3.67,30,1369.5,0.24,378.3,68.4,446.7,285.5,14.9,2.01,25.1,1190.5,0.13,286.5,58.5,344.9,440.8,8.3,0.83,52.1,2304.9,0.19,441.2,116.7,557.9,27.77,0,0,27.77,28.98,0,0,28.98,3605.1,114.6,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,112.1,2.5,0,0,0
1/1/2022 10:00,1/1/2022 9:00,3475.2,3421,3310.9,0,3275.3,0,0,54.1,2057.8,2218.8,0.0322,0.0424,102.6,0,8.9,0,34.9,0,coal,coal,311.8,16,2.14,30.8,1319.2,0.21,312.8,67.8,380.6,377.7,27.1,3.79,29.7,1351.5,0.25,379.5,67.6,447.1,253.9,11.2,1.48,24.2,1121.7,0.12,254.6,55.6,310.2,1190.1,137.1,19.94,36.7,2594.8,0.59,1199.3,109.5,1308.7,29.03,0,0,29.03,30.31,0,0,30.31,3636.2,145.7,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,144.3,1.4,0,0,0
1/1/2022 11:00,1/1/2022 10:00,3513.6,3451.1,3339.8,0,3310.4,0,0,62.4,2502,2619.7,0.0323,0.0428,103.5,0,8.9,0,35.2,0,coal,coal,312.2,16,2.15,30.8,1321,0.21,313.2,67.9,381.1,386.8,28.3,3.97,29.8,1366,0.25,388.7,68.1,456.8,273.7,11.4,1.48,26.7,1232,0.12,274.4,61.2,335.6,1360.4,156.7,22.79,41.9,2966,0.67,1370.8,125.1,1495.9,29.03,0,0,29.03,30.32,0,0,30.32,3631.2,140.8,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,138.1,2.6,0,0,0
1/1/2022 12:00,1/1/2022 11:00,3519.8,3443.4,3332.3,0,3306.4,0,0,76.4,2999.3,3106.9,0.0322,0.0427,103.3,0,8.9,0,35.1,0,coal,coal,312.6,16,2.15,30.9,1322.3,0.21,313.6,68,381.5,392.3,29.6,4.16,29.3,1356.7,0.26,394.2,67.4,461.6,286.3,14,1.86,26.1,1224.7,0.13,287.2,60.4,347.6,1114.4,128.3,18.67,34.3,2429.7,0.55,1123,102.5,1225.5,29.19,0,0,29.19,30.5,0,0,30.5,3627.4,136.9,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,134.2,2.8,0,0,0
1/1/2022 13:00,1/1/2022 12:00,3507.7,3429.8,3319.3,0,3287.8,0,0,77.9,3057.9,3182.7,0.0322,0.0425,102.9,0,8.9,0,35,0,coal,coal,312.1,16,2.15,30.8,1320.5,0.21,313.1,67.9,381,392.6,29.7,4.18,29.3,1355.2,0.26,394.5,67.3,461.8,277.4,12.6,1.66,26.1,1217.6,0.13,278.2,60.3,338.5,1131.2,130.3,18.95,34.9,2466.4,0.56,1139.9,104.1,1243.9,29.14,0,0,29.14,30.43,0,0,30.43,3632.4,142,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,139.3,2.7,0,0,0
1/1/2022 14:00,1/1/2022 13:00,3447.4,3368.6,3260.7,0,3217.9,0,0,78.8,3057.9,3251.8,0.032,0.0418,101.1,0,8.9,0,34.3,0,coal,coal,311.4,15.9,2.14,30.8,1317.3,0.21,312.4,67.7,380.1,391.9,29.6,4.17,29.2,1353.1,0.26,393.8,67.2,461,280.6,13.1,1.73,26.1,1220.3,0.13,281.4,60.3,341.7,1130.3,130.2,18.93,34.8,2464.4,0.56,1139,104,1243,29.14,0,0,29.14,30.41,0,0,30.41,3641.2,150.7,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,148.6,2.1,0,0,0
1/1/2022 15:00,1/1/2022 14:00,3391.5,3322.9,3217,0,3172.4,0,0,68.6,2725.2,2974.7,0.0319,0.0412,99.7,0,8.9,0,33.9,0,gas-cc,gas-cc,311.4,15.9,2.14,30.8,1317.4,0.21,312.4,67.7,380.1,389.7,28.8,4.05,29.6,1366.2,0.25,391.6,68,459.6,306.4,14.1,1.87,28.6,1338,0.14,307.3,66.1,373.4,392.1,7.4,0.74,46.3,2050.5,0.17,392.5,103.8,496.3,29.03,0,0,29.03,30.27,0,0,30.27,3641,150.5,1277.4,325.1,0,0,1887.9,0,0,0,0,0,0,0,0,0,148.1,2.4,0,0,0
1/1/2022 16:00,1/1/2022 15:00,3388.5,3319.1,3213.2,0,3223.8,0,0,69.5,2751.9,2958.7,0.0319,0.0411,99.6,0,8.9,0,33.9,0,coal,coal,318.4,16.5,2.22,31.2,1340.8,0.22,319.5,68.8,388.3,397,29.5,4.15,30,1385,0.26,398.9,68.8,467.7,368.3,24.2,3.37,27.8,1377.8,0.17,369.8,66.4,436.3,1047,120.6,17.54,32.3,2282.7,0.52,1055,96.3,1151.3,29.74,0,0,29.74,31.01,0,0,31.01,3595.4,95.2,1277.4,334.8,0,0,1887.9,0,0,0,0,0,0,0,0,0,92.8,2.4,0,0,0
1/1/2022 17:00,1/1/2022 16:00,3497.2,3419.1,3309.1,0,3416.9,0,0,78.1,2887.2,3351,0.0322,0.0424,102.6,0,0.4,0,34.2,0,coal,coal,424.5,30.6,4.28,32.5,1512.5,0.26,426.5,75,501.5,460.7,38,5.4,30.8,1487.5,0.29,463.2,72.5,535.7,326.1,17.2,2.33,28.5,1354.3,0.15,327.2,66.4,393.6,1191.4,137.2,19.96,36.7,2597.5,0.59,1200.5,109.6,1310.1,31.3,0,0,31.3,32.69,0,0,32.69,3961,2.2,1277.4,793.5,0,0,1887.9,0,0,0,0,0,0,0,0,0,1,1.1,0,0,0
1/1/2022 18:00,1/1/2022 17:00,3747.3,3658,3537.5,0,3658,0,0,89.3,3436.8,3667.7,0.0329,0.0453,109.7,0,0,0,36.6,0,coal,coal,428.5,31.1,4.36,32.6,1518.5,0.27,430.5,75.2,505.6,461.4,37.6,5.33,31.1,1504.3,0.28,463.9,73.3,537.2,346,20.2,2.77,28.4,1375.1,0.16,347.3,67,414.2,927.5,106.8,15.54,28.6,2022.2,0.46,934.6,85.3,1019.9,32.36,0,0,32.36,33.89,0,0,33.89,3978.2,0,1277.4,812.8,0,0,1887.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
