Project,Scenario,Dollar_year,Weather_year,Start_day,gea,country,tz,t
Cambium_2022,MidCase100by2035,2021$,2012,Sunday,SRMVc,usa,CT,2040
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2040-01-01 01:00:00,2040-01-01 00:00:00,19782.7,0.0,0.0,756.6,20539.4,19170.9,20539.4,37169.7,27562.6,0.0309,0.0369,0.71,0.95,-107.8,2.1,0.21,21.2,596.9,0.14,-107.7,39.0,-68.7,-58.1,0.4,0.04,6.2,110.9,0.05,-58.1,9.5,-48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10932.3,0.0,2695.1,129.9,1477.7,0.0,0.0,0.0,0.0,0.0,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 02:00:00,2040-01-01 01:00:00,18861.5,0.0,0.0,742.5,19604.0,18282.9,19604.0,36576.0,26878.9,0.0307,0.0352,0.68,0.95,-119.0,2.3,0.23,23.4,658.7,0.15,-118.9,43.1,-75.8,-57.9,0.4,0.04,6.3,112.9,0.05,-57.9,9.7,-48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9906.9,0.0,1669.7,129.9,1477.7,0.0,0.0,0.0,0.0,0.0,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 03:00:00,2040-01-01 02:00:00,18412.0,0.0,0.0,747.2,19159.2,17849.1,19159.2,36755.4,27009.7,0.0306,0.0343,0.67,0.95,-125.2,2.4,0.24,24.6,693.2,0.16,-125.1,45.3,-79.8,-57.0,0.4,0.04,6.2,113.2,0.05,-57.0,9.6,-47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9413.6,0.0,1176.4,129.9,1477.7,0.0,0.0,0.0,0.0,0.0,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 04:00:00,2040-01-01 03:00:00,18010.4,0.0,0.0,755.1,18765.6,17461.1,18765.6,37139.5,27394.6,0.0305,0.0336,0.65,0.95,-130.7,2.5,0.26,25.7,723.4,0.16,-130.5,47.3,-83.2,-57.0,0.4,0.04,6.2,110.2,0.05,-57.0,9.5,-47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9020.6,0.0,783.4,129.9,1477.7,0.0,0.0,0.0,0.0,0.0,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 05:00:00,2040-01-01 04:00:00,17835.4,0.0,0.0,756.2,18591.6,17291.9,18591.6,37215.9,27475.5,0.0305,0.0333,0.64,0.95,-133.2,2.6,0.26,26.2,737.2,0.17,-133.0,48.2,-84.8,-57.5,0.4,0.04,6.2,108.6,0.05,-57.5,9.4,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8851.2,0.0,614.0,129.9,1477.7,0.0,0.0,0.0,0.0,0.0,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 06:00:00,2040-01-01 05:00:00,18274.7,0.0,0.0,723.0,18997.7,17716.4,18997.7,35425.4,26277.8,0.0305,0.0341,0.68,0.95,-119.7,2.3,0.23,23.6,662.5,0.15,-119.6,43.3,-76.2,-59.3,0.4,0.04,6.5,116.8,0.05,-59.2,10.0,-49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9850.1,0.0,1612.9,129.9,1477.7,0.0,0.0,0.0,0.0,0.0,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 07:00:00,2040-01-01 06:00:00,18828.2,0.0,0.0,714.1,19542.2,18250.7,19316.6,34913.3,25947.3,0.0307,0.0351,0.7,0.95,-111.5,2.2,0.22,21.9,617.0,0.14,-111.3,40.4,-71.0,-58.8,0.4,0.04,6.5,118.1,0.05,-58.8,10.0,-48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10576.3,225.6,2113.5,129.9,1477.7,0.0,0.0,0.0,0.0,218.6,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,7.0,0.0,0.0
2040-01-01 08:00:00,2040-01-01 07:00:00,19599.2,5534.3,24.8,368.4,25526.6,18994.1,16788.9,17637.3,9085.6,0.0309,0.0365,0.81,0.92,-69.5,1.4,0.14,13.7,384.4,0.09,-69.4,25.1,-44.2,-51.8,0.6,0.06,7.3,169.2,0.05,-51.8,12.3,-39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16974.9,8737.7,0.0,129.9,1477.7,0.0,0.0,0.0,0.0,1900.0,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,6837.7,0.0,0.0
2040-01-01 09:00:00,2040-01-01 08:00:00,20704.9,7702.9,0.0,99.7,28507.5,20058.3,9834.0,4637.3,3040.5,0.0312,0.0386,0.88,0.91,-43.8,0.9,0.09,8.6,242.5,0.06,-43.8,15.9,-27.9,-42.8,0.7,0.07,7.5,201.1,0.05,-42.7,13.5,-29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26910.7,18673.5,0.0,129.9,1477.7,0.0,0.0,0.0,0.0,2442.0,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,16231.5,0.0,0.0
2040-01-01 10:00:00,2040-01-01 09:00:00,22071.5,7856.9,24.8,110.7,30063.8,21370.4,10278.8,5330.3,3288.7,0.0318,0.0412,0.89,0.91,-42.1,0.8,0.08,8.3,232.9,0.05,-42.0,15.2,-26.8,-40.8,0.7,0.07,7.2,192.2,0.05,-40.7,12.9,-27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28022.2,19785.0,0.0,129.9,1477.7,0.0,0.0,0.0,0.0,2672.9,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,17112.1,0.0,0.0
2040-01-01 11:00:00,2040-01-01 10:00:00,22814.5,7327.4,24.8,137.9,30304.5,22082.3,12134.0,7082.0,3185.2,0.0321,0.0425,0.88,0.91,-44.6,0.9,0.09,8.8,247.1,0.06,-44.6,16.2,-28.4,-39.7,0.7,0.07,7.0,186.8,0.05,-39.6,12.6,-27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26407.7,18170.5,0.0,129.9,1477.7,0.0,0.0,0.0,0.0,2005.8,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,16164.7,0.0,0.0
2040-01-01 12:00:00,2040-01-01 11:00:00,23599.6,7488.8,0.0,169.9,31258.2,22833.4,13416.1,8873.6,3694.6,0.0325,0.044,0.88,0.91,-45.2,0.9,0.09,8.9,250.2,0.06,-45.2,16.4,-28.8,-38.6,0.7,0.07,6.9,185.1,0.04,-38.6,12.4,-26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26079.3,17842.1,0.0,129.9,1477.7,0.0,0.0,0.0,0.0,2284.1,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,15558.0,0.0,0.0
2040-01-01 13:00:00,2040-01-01 12:00:00,24328.1,7623.4,24.8,112.6,32088.9,23529.3,13873.9,7262.1,1625.4,0.0328,0.0454,0.88,0.92,-44.6,0.9,0.09,8.8,246.7,0.06,-44.5,16.1,-28.4,-38.0,0.6,0.06,6.8,182.0,0.05,-37.9,12.3,-25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26452.2,18215.0,0.1,129.9,1477.7,0.0,0.0,0.0,0.0,2167.2,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,16047.8,0.0,0.0
2040-01-01 14:00:00,2040-01-01 13:00:00,24135.3,7543.7,0.0,106.0,31785.0,23345.2,10499.8,5472.5,3209.9,0.0327,0.045,0.89,0.92,-39.9,0.8,0.08,7.9,221.0,0.05,-39.9,14.5,-25.4,-38.0,0.6,0.06,6.8,182.0,0.04,-38.0,12.2,-25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29522.4,21285.2,0.0,129.9,1477.7,0.0,0.0,0.0,0.0,3988.5,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,17296.6,0.0,0.0
2040-01-01 15:00:00,2040-01-01 14:00:00,24048.7,7752.1,24.8,49.9,31875.4,23262.4,10387.6,3562.7,1412.4,0.0327,0.0448,0.89,0.92,-39.7,0.8,0.08,7.8,219.5,0.05,-39.6,14.4,-25.3,-38.2,0.6,0.06,6.9,183.2,0.05,-38.2,12.4,-25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29725.0,21487.8,0.0,129.9,1477.7,0.0,0.0,0.0,0.0,3864.0,0.0,3142.5,0.0,0.0,71.3,3415.8,0.0,0.0,0.0,17623.8,0.0,0.0
