Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,raz,country,tz,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_scenarios_2021,MidCase95by2035,2020$,2012,Sunday,p24,WY,RMPAc,wecc_rocky_mountain,usa,MT,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Time,Load,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,MW,$/MW,MW,$/MW,MW,$/MW,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,imports,exports,distloss_rate_avg,distloss_rate_marg,spin_MW,spin_shadow_price,flex_MW,flex_shadow_price,reg_MW,reg_shadow_price,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,beccs_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh
1/1/2022 2:00,1/1/2022 0:00,926.3,901,868.8,0,-1387.7,0,0,25.3,310,2694.6,0.0357,0.0538,27,0,228.9,0,20.5,0,coal,coal,314.8,36.2,5.27,9.7,686.2,0.16,317.2,29,346.1,302.5,34.8,5.07,9.3,659.4,0.15,304.8,27.8,332.6,266.8,13.5,1.83,24,1114.1,0.13,267.7,55.2,322.9,1117.5,128.7,18.72,34.4,2436.4,0.55,1126.1,102.8,1228.8,26.15,0,0,26.15,27.63,0,0,27.63,3310.9,2288.7,0,990.7,0,0,0,0,0,31.6,0,0,0,2288.7,0,0,0,0,0,0,0
1/1/2022 3:00,1/1/2022 1:00,956.3,928.1,894.5,0,-1365.8,0,0,28.2,310,3162.4,0.0363,0.0554,27.8,0,229.4,0,20.8,0,coal,coal,409.7,47.2,6.86,12.6,893.2,0.2,412.8,37.7,450.5,396.6,45.7,6.64,12.2,864.6,0.2,399.6,36.5,436.1,250.3,8.9,1.13,25.9,1165.5,0.12,250.9,58.6,309.5,915.6,105.4,15.34,28.2,1996.2,0.45,922.6,84.2,1006.8,26.87,0,0,26.87,28.45,0,0,28.45,3808.7,2293.9,0,1483.2,0,0,0,0,0,31.6,0,0,0,2293.9,0,0,0,0,0,0,0
1/1/2022 4:00,1/1/2022 2:00,1011.8,986,949,0,-1291.9,0,0,25.8,310,3090.8,0.0375,0.0588,29.6,0,227.8,0,21.2,0,battery,coal,411.4,47.4,6.89,12.7,897,0.2,414.6,37.8,452.4,398.6,45.9,6.68,12.3,869,0.2,401.6,36.7,438.3,252.9,8,0.99,27.1,1208.7,0.12,253.4,60.9,314.3,915.4,105.4,15.33,28.2,1995.7,0.45,922.4,84.2,1006.6,26.87,0,0,26.87,28.55,0,0,28.55,3792.6,2277.9,0,1483.2,0,0,0,0,0,31.6,0,0,0,2277.9,0,0,0,0,0,0,0
1/1/2022 5:00,1/1/2022 3:00,998.9,973,936.8,0,-1315.7,0,0,25.9,310,3114.5,0.0372,0.058,29.2,0,228.9,0,21.2,0,coal,coal,410.2,47.2,6.87,12.6,894.4,0.2,413.4,37.7,451.1,397.3,45.8,6.66,12.2,866.3,0.2,400.4,36.5,436.9,252.6,8.1,1,27,1205.9,0.12,253.1,60.8,313.9,935.8,107.8,15.68,28.8,2040.4,0.46,943,86.1,1029.1,27.5,0,0,27.5,29.19,0,0,29.19,3803.4,2288.7,0,1483.2,0,0,0,0,0,31.6,0,0,0,2288.7,0,0,0,0,0,0,0
1/1/2022 6:00,1/1/2022 4:00,994.2,968.3,932.4,0,-1324.6,0,0,26,310,3123.4,0.0371,0.0578,29,0,229.3,0,21.1,0,coal,coal,409.8,47.2,6.86,12.6,893.4,0.2,412.9,37.7,450.6,396.8,45.7,6.65,12.2,865.1,0.2,399.8,36.5,436.3,247,8.2,1.02,26.1,1169.1,0.12,247.5,58.9,306.4,935.6,107.7,15.67,28.8,2039.8,0.46,942.7,86.1,1028.8,27.5,0,0,27.5,29.18,0,0,29.18,3807.6,2292.9,0,1483.2,0,0,0,0,0,31.6,0,0,0,2292.9,0,0,0,0,0,0,0
1/1/2022 7:00,1/1/2022 5:00,982.5,956.5,921.2,0,-1337.4,0,0,26,310,3136.2,0.0369,0.0571,28.7,0,229.4,0,21,0,gas-cc,gas-cc,409.7,47.2,6.86,12.6,893.2,0.2,412.8,37.7,450.5,396.5,45.7,6.64,12.2,864.6,0.2,399.6,36.5,436.1,309.8,15.7,2.11,27.8,1299.2,0.15,310.8,64.2,375,438.2,8.3,0.83,51.8,2291.7,0.19,438.7,116,554.7,27.04,0,0,27.04,28.67,0,0,28.67,3808.7,2293.9,0,1483.2,0,0,0,0,0,31.6,0,0,0,2293.9,0,0,0,0,0,0,0
1/1/2022 8:00,1/1/2022 6:00,963.6,937.6,903.4,0,-1355.9,0,0,26,310,3154.6,0.0365,0.0559,28.1,0,229.3,0,20.8,0,coal,coal,409.7,47.2,6.86,12.6,893.3,0.2,412.9,37.7,450.5,396.4,45.7,6.64,12.2,864.4,0.2,399.5,36.5,435.9,271.4,10.4,1.34,27.4,1241.6,0.13,272,62.2,334.2,1097,126.3,18.37,33.8,2391.7,0.54,1105.4,100.9,1206.3,27.55,0,0,27.55,29.18,0,0,29.18,3808.2,2293.4,0,1483.2,0,0,0,0,0,31.6,0,0,0,2293.4,0,0,0,0,0,0,0
1/1/2022 9:00,1/1/2022 7:00,934.2,908.1,875.5,0,-1385.1,0,0,26.1,310,3183.8,0.0358,0.0542,27.2,0,229.3,0,20.5,0,coal,coal,409.7,47.2,6.86,12.6,893.4,0.2,412.9,37.7,450.6,395.7,45.6,6.63,12.2,862.7,0.2,398.7,36.4,435.1,262.4,9,1.13,27.5,1235.3,0.12,263,62.1,325.1,932,107.3,15.61,28.7,2032,0.46,939.1,85.7,1024.9,27.5,0,0,27.5,29.07,0,0,29.07,3808,2293.2,0,1483.2,0,0,0,0,0,31.6,0,0,0,2293.2,0,0,0,0,0,0,0
1/1/2022 10:00,1/1/2022 8:00,949.3,923.4,890,0,-1314.8,0,0,25.9,310,3113.7,0.0362,0.0551,27.7,0,223.9,0,20.4,0,coal,coal,415.8,47.9,6.96,12.8,906.4,0.21,418.9,38.2,457.2,399.3,46,6.69,12.3,870.6,0.2,402.4,36.7,439.1,267.6,7.9,0.96,29.1,1300.6,0.12,268.1,65.6,333.7,1096,126.2,18.36,33.8,2389.5,0.54,1104.4,100.8,1205.2,27.55,0,0,27.55,29.16,0,0,29.16,3753,2238.2,0,1483.2,0,0,0,0,0,31.6,0,0,0,2237.7,0,0,0,0.5,0,0,0
1/1/2022 11:00,1/1/2022 9:00,943.1,917.5,884.4,0,-1279.4,0,0,25.6,310,3078.5,0.036,0.0547,27.5,0,219.7,0,20.2,0,coal,coal,420.4,48.4,7.04,13,916.5,0.21,423.6,38.7,462.3,403.4,46.4,6.76,12.4,879.4,0.2,406.4,37.1,443.5,283.1,12,1.57,27.5,1261.5,0.13,283.9,62.9,346.8,1098.9,126.6,18.41,33.9,2395.9,0.54,1107.3,101.1,1208.4,27.66,0,0,27.66,29.26,0,0,29.26,3711.6,2196.9,0,1483.2,0,0,0,0,0,31.6,0,0,0,2196,0,0,0,0.9,0,0,0
1/1/2022 12:00,1/1/2022 10:00,940.4,915.2,882.2,0,-1222.5,0,0,25.3,310,3022,0.036,0.0546,27.5,0,213.8,0,19.8,0,coal,coal,427.2,49.2,7.16,13.2,931.4,0.21,430.5,39.3,469.8,409.6,47.2,6.86,12.6,893,0.2,412.7,37.7,450.4,274.8,11,1.43,27.3,1242.9,0.13,275.5,62.1,337.6,932.4,107.4,15.62,28.7,2032.9,0.46,939.6,85.8,1025.3,27.5,0,0,27.5,29.09,0,0,29.09,3652.4,2137.6,0,1483.2,0,0,0,0,0,31.6,0,0,0,2136.9,0,0,0,0.7,0,0,0
1/1/2022 13:00,1/1/2022 11:00,935.4,910.4,877.7,0,-1169.9,0,0,25,310,2969.7,0.0359,0.0543,27.3,0,208.1,0,19.5,0,coal,coal,434,50,7.27,13.4,946.3,0.22,437.3,39.9,477.3,416.1,47.9,6.97,12.8,907.2,0.21,419.3,38.3,457.6,274.8,11,1.43,27.3,1242.4,0.13,275.5,62.1,337.6,932.1,107.3,15.61,28.7,2032.3,0.46,939.3,85.7,1025,27.5,0,0,27.5,29.08,0,0,29.08,3595.1,2080.3,0,1483.2,0,0,0,0,0,31.6,0,0,0,2079.5,0,0,0,0.9,0,0,0
1/1/2022 14:00,1/1/2022 12:00,932.1,908.1,875.5,0,-1013.7,0,0,24,310,2814.5,0.0358,0.0542,27.2,0,192.2,0,18.7,0,coal,coal,454,52.3,7.61,14,989.9,0.23,457.5,41.8,499.3,434.3,50,7.27,13.4,946.9,0.22,437.6,39.9,477.6,272.9,10.2,1.31,27.7,1256.6,0.13,273.5,63,336.5,1099.1,126.6,18.41,33.9,2396.3,0.55,1107.5,101.1,1208.6,27.69,0,0,27.69,29.27,0,0,29.27,3436.6,1921.8,0,1483.2,0,0,0,0,0,31.6,0,0,0,1920.8,0,0,0,1,0,0,0
1/1/2022 15:00,1/1/2022 13:00,934.4,912.8,880,0,-594.2,0,0,21.6,310,2397.3,0.0359,0.0545,27.4,0,150.8,0,16.7,0,coal,coal,516.4,59.5,8.65,15.9,1125.8,0.26,520.3,47.5,567.8,487,56.1,8.16,15,1061.7,0.24,490.7,44.8,535.5,333,14.8,1.95,31.7,1466.4,0.15,333.9,72.8,406.7,1109,127.7,18.58,34.2,2417.9,0.55,1117.5,102,1219.5,27.8,0,0,27.8,29.4,0,0,29.4,3021.7,1507,0,1483.2,0,0,0,0,0,31.6,0,0,0,1506.3,0,0,0,0.7,0,0,0
1/1/2022 16:00,1/1/2022 14:00,952.3,930.5,896.7,0,-596.7,0,0,21.8,310,2399.7,0.0363,0.0555,27.9,0,152.8,0,16.9,0,coal,coal,512.9,59.1,8.59,15.8,1118.3,0.25,516.9,47.2,564,484.7,55.8,8.12,14.9,1056.8,0.24,488.4,44.6,533,288.3,9.3,1.14,30.7,1380.1,0.13,288.9,69.4,358.2,1111.4,128,18.62,34.2,2423.1,0.55,1119.9,102.2,1222.1,27.84,0,0,27.84,29.48,0,0,29.48,3042,1527.2,0,1483.2,0,0,0,0,0,31.6,0,0,0,1526.5,0,0,0,0.7,0,0,0
1/1/2022 17:00,1/1/2022 15:00,947.8,923.4,890,0,-1054.8,0,0,24.4,310,2855.2,0.0362,0.0551,27.7,0,197.9,0,19.1,0,coal,coal,446.7,51.4,7.48,13.8,973.9,0.22,450.1,41.1,491.2,427.1,49.2,7.15,13.2,931.3,0.21,430.4,39.3,469.7,322.4,13.7,1.79,31.3,1439.4,0.15,323.2,71.6,394.8,1102.6,127,18.47,34,2404,0.55,1111,101.4,1212.5,27.79,0,0,27.79,29.41,0,0,29.41,3493,1978.2,0,1483.2,0,0,0,0,0,31.6,0,0,0,1977.7,0,0,0,0.5,0,0,0
1/1/2022 18:00,1/1/2022 16:00,963.8,938.8,904.5,0,-1135,0,0,25,310,2944.3,0.0365,0.056,28.2,0,207.5,0,19.8,0,gas-cc,gas-cc,436.7,50.3,7.31,13.5,952.1,0.22,440,40.2,480.2,419.9,48.4,7.03,12.9,915.4,0.21,423.1,38.6,461.7,260.6,9.1,1.15,27.1,1221.1,0.12,261.2,61.4,322.5,448.5,8.5,0.85,53,2345.2,0.2,448.9,118.7,567.6,29.73,0,0,29.73,31.5,0,0,31.5,3598.1,2073.8,0,1492.7,0,0,0,0,0,31.6,0,0,0,2073.7,0,0,0,0.1,0,0,0
1/1/2022 19:00,1/1/2022 17:00,990.6,970.7,934.6,0,-804.4,0,0,20,353.8,2813.3,0.0372,0.0579,29.1,1.88,177.5,1.88,18.6,1.88,hydro,gas-cc,505.6,58.2,8.47,15.6,1102.2,0.25,509.4,46.5,555.9,478.9,55.2,8.02,14.8,1044.1,0.24,482.6,44.1,526.6,275.8,8.7,1.07,29.5,1322.5,0.13,276.3,66.5,342.9,425.5,8,0.8,50.3,2225.1,0.19,425.9,112.6,538.6,34.82,0,0,34.82,36.96,0,0,36.96,3450.1,1775.1,0,1643.5,0,0,0,0,0,31.6,0,0,0,1775.1,0,0,0,0,0,0,0
1/1/2022 20:00,1/1/2022 18:00,1009,988.4,951.3,0,-1080.6,0,0,20.7,310,3045,0.0375,0.059,29.7,0.69,206.9,0.69,20.2,0.69,hydro,gas-cc,465.9,53.6,7.8,14.4,1015.7,0.23,469.4,42.9,512.3,449.5,51.8,7.53,13.8,980.1,0.22,453,41.4,494.3,268.9,9.4,1.19,27.9,1258.4,0.13,269.5,63.2,332.7,353.8,6.7,0.67,41.8,1850.1,0.15,354.2,93.6,447.8,33.65,0,0,33.65,35.76,0,0,35.76,3744,2069,0,1643.5,0,0,0,0,0,31.6,0,0,0,2069,0,0,0,0,0,0,0
