,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Credit card fees,0.0
7,Operating Expenses,Road tax,0.0
8,Operating Expenses,Property insurance,0.0
9,Financing cash outflow,Capital gains taxes payable,0.0
10,Operating Expenses,Non-depreciable assets,0.03150406504065042
11,Financing cash outflow,H2 Pre-heating,0.2414779613187873
12,Financing cash outflow,Oxygen Supply,0.4267999316846876
13,Operating Expenses,Raw Water Withdrawal,0.4764879063000002
14,Financing cash outflow,Cooling Tower,0.5256940401696701
15,Financing cash outflow,Electrical & Instrumentation,1.0356171876854245
16,Financing cash outflow,Other Miscellaneous Costs,1.0356176005044475
17,Financing cash outflow,Piping,1.5534257802134266
18,Operating Expenses,Lime,2.2124520000000008
19,Financing cash outflow,"Buildings, Storage, Water Service",2.3303719487520036
20,Operating Expenses,Cash on hand reserve,2.62341736144201
21,Operating Expenses,Natural Gas,2.7418247716530675
22,Financing cash outflow,Shaft Furnace,3.502222275886307
23,Operating Expenses,Maintenance Labor Cost,4.3820259482767705
24,Financing cash outflow,EAF & Casting,6.274327342061689
25,Operating Expenses,Slag Disposal,6.560037900000004
26,Operating Expenses,Installation cost,6.72972832963252
27,Operating Expenses,Maintenance Materials,7.720000000000002
28,Financing cash outflow,Repayment of debt,9.108400567097592
29,Operating Expenses,Property tax and insurance,10.155332440965864
30,Operating Expenses,Carbon,12.748986000000006
31,Financing cash outflow,Interest expense,15.043589219428029
32,Operating Expenses,Administrative & Support Labor Cost,20.262737001362503
33,Financing cash outflow,Income taxes payable,34.11406317756702
34,Operating Expenses,Electricity,46.943180079887156
35,Operating Expenses,Annual Operating Labor Cost,76.66892205717323
36,Financing cash outflow,Dividends paid,100.08835503023941
37,Operating Expenses,Hydrogen,289.8274816468837
38,Operating Expenses,Iron Ore,337.8291345000001
39,Operating Revenue,Take or pay revenue,0.0
40,Operating Revenue,Incidental revenue,0.0
41,Operating Revenue,Oxygen sales,0.0
42,Financing cash inflow,One time capital incentive,0.0
43,Financing cash inflow,Annual operating incentives,0.0
44,Operating Revenue,Sale of non-depreciable assets,0.03150406504065265
45,Operating Revenue,Cash on hand recovery,2.62341736144201
46,Financing cash inflow,Monetized tax losses,3.9608694194500114
47,Financing cash inflow,Inflow of debt,9.108400567097592
48,Financing cash inflow,Inflow of equity,19.82600222242947
49,Operating Revenue,Steel sales,967.6430204357664
