,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,39254.6153441141,0.0,39254.6153441141,39254.6153441141,823.2777033590147
1,0.0,0.0,0.0,0.0,-0.0
2,21973.392091923444,0.0,21973.392091923444,21973.392091923444,381.6676143132393
3,88808.74101688393,0.0,88808.74101688393,88808.74101688393,1621.217575939219
4,145179.85685068148,0.0,145179.85685068148,145179.85685068148,2844.8549676573116
5,172170.42642436127,0.0,172170.42642436127,172170.42642436127,3536.2446631878697
6,203714.5652987233,0.0,203714.5652987233,203714.5652987233,4231.6542837453835
7,315007.7108188974,0.0,315007.7108188974,315007.7108188974,6414.722380541969
8,427315.11936361244,0.0,427315.11936361244,427315.11936361244,8526.918343983336
9,327183.98225769773,0.0,327183.98225769773,327183.98225769773,6646.597873257271
10,103317.70200833373,0.0,103317.70200833373,103317.70200833373,2175.078223750264
11,101142.15580385101,0.0,101142.15580385101,101142.15580385101,2124.9569148113987
12,124589.68848105967,0.0,124589.68848105967,124589.68848105967,2532.2241014270057
13,150466.1807459146,0.0,150466.1807459146,150466.1807459146,3063.524301168738
14,164601.2654909674,0.0,164601.2654909674,164601.2654909674,3421.825910269343
15,154274.92110657648,0.0,154274.92110657648,154274.92110657648,3245.2186030804814
16,439936.71877581766,0.0,439936.71877581766,439936.71877581766,8558.97365932055
17,501318.91826546093,0.0,501318.91826546093,501318.91826546093,9888.543715957148
18,709988.9304816559,0.0,709988.9304816559,709988.9304816559,13621.974953020826
19,777845.6805043432,0.0,777845.6805043432,777845.6805043432,14805.679786184199
20,784831.2820725832,0.0,784831.2820725832,784831.2820725832,14926.738216807422
21,765485.8224198758,0.0,765485.8224198758,765485.8224198758,14591.043911216613
22,697793.7810419096,0.0,697793.7810419096,697793.7810419096,13407.65947531324
23,628156.6336214248,0.0,628156.6336214248,628156.6336214248,12175.314936607883
24,619930.6819702844,0.0,619930.6819702844,619930.6819702844,12028.679750487368
25,603565.2303229347,0.0,603565.2303229347,603565.2303229347,11736.294773596022
26,605779.466577932,0.0,605779.466577932,605779.466577932,11775.884895241588
27,502883.01074859366,0.0,502883.01074859366,502883.01074859366,9916.929869364243
28,441404.08227691345,0.0,441404.08227691345,441404.08227691345,8787.315135816016
29,395152.29599129595,0.0,395152.29599129595,395152.29599129595,7927.296792073582
30,438460.04137039505,0.0,438460.04137039505,438460.04137039505,8732.813068270516
31,525340.8634901561,0.0,525340.8634901561,525340.8634901561,10325.859092940522
32,527403.3565840505,0.0,527403.3565840505,527403.3565840505,10363.308928061013
33,396474.26457519626,0.0,396474.26457519626,396474.26457519626,7951.951261963483
34,184066.7751402131,0.0,184066.7751402131,184066.7751402131,3866.0955413213883
35,121141.34769886374,0.0,121141.34769886374,121141.34769886374,2550.6034063728416
36,103121.94688275523,0.0,103121.94688275523,103121.94688275523,2171.056641867826
37,76800.09581598696,0.0,76800.09581598696,76800.09581598696,1612.408350472794
38,49012.66512750052,0.0,49012.66512750052,49012.66512750052,1031.3197278213843
39,39432.07859004486,0.0,39432.07859004486,39432.07859004486,826.679632412528
40,45240.77890398454,0.0,45240.77890398454,45240.77890398454,926.6902326861908
41,79902.28423636428,0.0,79902.28423636428,79902.28423636428,1551.6735965150122
42,94213.39005803513,0.0,94213.39005803513,94213.39005803513,1935.8451774519622
43,116523.19065878431,0.0,116523.19065878431,116523.19065878431,2365.634828010533
44,133275.78052404118,0.0,133275.78052404118,133275.78052404118,2742.097786939369
45,417686.15579910926,0.0,417686.15579910926,417686.15579910926,8010.98435706755
46,604657.5630671275,0.0,604657.5630671275,604657.5630671275,11754.822659351299
47,607528.5436033494,0.0,607528.5436033494,607528.5436033494,11806.143137844127
48,854041.6651965043,0.0,854041.6651965043,854041.6651965043,16117.305876209197
49,785926.507600083,0.0,785926.507600083,785926.507600083,14944.249669507768
50,687180.5156657818,0.0,687180.5156657818,687180.5156657818,13219.561652295286
51,541289.7909003308,0.0,541289.7909003308,541289.7909003308,10614.270960300406
52,557427.2173191983,0.0,557427.2173191983,557427.2173191983,10906.029736699456
53,424052.1463042385,0.0,424052.1463042385,424052.1463042385,8464.927426859187
54,436759.3517818186,0.0,436759.3517818186,436759.3517818186,8700.51322823279
55,333054.13994307665,0.0,333054.13994307665,333054.13994307665,6756.96388051319
56,239843.05121010626,0.0,239843.05121010626,239843.05121010626,4964.367144824574
57,108737.97695150264,0.0,108737.97695150264,108737.97695150264,2289.5672060121624
58,36785.364598306754,0.0,36785.364598306754,36785.364598306754,773.9623560416511
59,67501.01444006883,0.0,67501.01444006883,67501.01444006883,1312.5220566160488
60,122288.62967109603,0.0,122288.62967109603,122288.62967109603,2380.1481002158694
61,252036.13880960588,0.0,252036.13880960588,252036.13880960588,4932.324278928089
62,430394.7720904876,0.0,430394.7720904876,430394.7720904876,8581.975664175337
63,619557.2158964701,0.0,619557.2158964701,619557.2158964701,12019.939246038788
64,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,19391.365219759988
65,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,19391.332740167592
66,1048190.2497563533,0.0,1048190.2497563533,1048190.2497563533,19391.300260683973
