Wind Speed [m/s],Power [kW]
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,4.595
2.75,9.19
3,13.785
3.25,18.38
3.5,29.56
3.75,40.88
4,57.7
4.25,80.06
4.5,102.37
4.75,130.18
5,157.99
5.25,191.29
5.5,241.12
5.75,279.92
6,329.71
6.25,379.49
6.5,429.28
6.75,490.05
7,556.37
7.25,617.14
7.5,677.92
7.75,755.18
8,826.94
8.25,904.2
8.5,997.99
8.75,1090
9,1190
9.25,1260
9.5,1350
9.75,1460
10,1560
10.25,1650
10.5,1730
10.75,1800
11,1860
11.25,1910
11.5,1950
11.75,1960
12,1970
12.25,1980
12.5,1990
12.75,2000
13,2000
13.25,2000
13.5,2000
13.75,2000
14,2000
14.25,2000
14.5,2000
14.75,2000
15,2000
15.25,2000
15.5,2000
15.75,2000
16,2000
16.25,2000
16.5,2000
16.75,2000
17,2000
17.25,2000
17.5,2000
17.75,2000
18,2000
18.25,2000
18.5,2000
18.75,2000
19,2000
19.25,2000
19.5,2000
19.75,2000
20,2000
20.25,2000
20.5,2000
20.75,2000
21,2000
21.25,2000
21.5,2000
21.75,2000
22,2000
22.25,2000
22.5,2000
22.75,2000
23,2000
23.25,2000
23.5,2000
23.75,2000
24,2000
24.25,2000
24.5,2000
24.75,2000
25,2000
25.25,2000
25.5,2000
25.75,2000
26,2000
26.25,2000
26.5,2000
26.75,2000
27,2000
27.25,2000
27.5,2000
27.75,2000
28,2000
28.25,2000
28.5,2000
28.75,2000
29,2000
29.25,2000
29.5,2000
29.75,2000
30,0
30.25,0
30.5,0
30.75,0
31,0
31.25,0
31.5,0
31.75,0
32,0
32.25,0
32.5,0
32.75,0
33,0
33.25,0
33.5,0
33.75,0
34,0
34.25,0
34.5,0
34.75,0
35,0
35.25,0
35.5,0
35.75,0
36,0
36.25,0
36.5,0
36.75,0
37,0
37.25,0
37.5,0
37.75,0
38,0
38.25,0
38.5,0
38.75,0
39,0
39.25,0
39.5,0
39.75,0
40.00,0
