Source,Station ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
CDIP,067,N/A,33.222434997558594,-119.87369537353516,N/A,N/A,N/A,-,s,deg,s,deg,s,W/m,s,m,-,288.285,N/A
Year,Month,Day,Hour,Minute,Significant Head (m),Energy Period (s)
2010.0,1.0,1.0,0.0,1.0,2.2300000190734863,13.333333015441895
2010.0,1.0,1.0,1.0,1.0,2.0,12.5
2010.0,1.0,1.0,2.0,1.0,2.0299999713897705,12.5
2010.0,1.0,1.0,3.0,1.0,1.7300000190734863,13.333333015441895
2010.0,1.0,1.0,4.0,1.0,1.5499999523162842,11.764705657958984
2010.0,1.0,1.0,5.0,1.0,1.5,12.5
2010.0,1.0,1.0,6.0,1.0,1.5299999713897705,13.333333015441895
2010.0,1.0,1.0,7.0,1.0,1.4900000095367432,12.5
2010.0,1.0,1.0,8.0,1.0,1.600000023841858,11.764705657958984
2010.0,1.0,1.0,9.0,1.0,1.5,11.764705657958984
2010.0,1.0,1.0,10.0,1.0,1.659999966621399,11.764705657958984
2010.0,1.0,1.0,11.0,1.0,1.659999966621399,12.5
2010.0,1.0,1.0,12.0,1.0,1.8700000047683716,11.764705657958984
2010.0,1.0,1.0,13.0,1.0,1.6299999952316284,11.764705657958984
2010.0,1.0,1.0,14.0,1.0,1.7000000476837158,12.5
2010.0,1.0,1.0,15.0,1.0,1.6699999570846558,11.764705657958984
2010.0,1.0,1.0,16.0,1.0,1.659999966621399,11.764705657958984
2010.0,1.0,1.0,17.0,1.0,1.6299999952316284,12.5
2010.0,1.0,1.0,18.0,1.0,1.5299999713897705,12.5
2010.0,1.0,1.0,19.0,1.0,1.4900000095367432,12.5
2010.0,1.0,1.0,20.0,1.0,1.6200000047683716,13.333333015441895
2010.0,1.0,1.0,21.0,1.0,1.590000033378601,13.333333015441895
2010.0,1.0,1.0,22.0,1.0,1.5299999713897705,13.333333015441895
2010.0,1.0,1.0,23.0,1.0,1.7200000286102295,13.333333015441895
2010.0,1.0,2.0,0.0,1.0,1.7300000190734863,11.764705657958984
2010.0,1.0,2.0,1.0,1.0,1.7300000190734863,12.5
2010.0,1.0,2.0,2.0,1.0,1.9299999475479126,11.11111068725586
2010.0,1.0,2.0,3.0,1.0,2.119999885559082,12.5
2010.0,1.0,2.0,4.0,1.0,1.9500000476837158,11.764705657958984
