Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,564277,-,-,-,35.21,-101.94,-6,1102,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2012,1,1,0,30,0.0,0.0,0.0,1.8,-1,146.70000000000005
2012,1,1,1,30,0.0,0.0,0.0,1.6,-1,134.42000000000002
2012,1,1,2,30,0.0,0.0,0.0,1.6,-2,122.1
2012,1,1,3,30,0.0,0.0,0.0,1.8,-3,109.99
2012,1,1,4,30,0.0,0.0,0.0,2.0,-3,98.29
2012,1,1,5,30,29.0,29.0,0.0,2.1,-3,87.23
2012,1,1,6,30,194.0,49.0,652.0,2.0,-4,77.15
2012,1,1,7,30,359.0,63.0,808.0,2.2,-3,68.52
2012,1,1,8,30,288.0,208.0,168.0,2.7,-1,61.97
2012,1,1,9,30,361.0,234.0,239.0,2.3000000000000003,1,58.22
2012,1,1,10,30,365.0,238.0,240.0,1.4000000000000001,4,57.83
2012,1,1,11,30,333.0,213.0,247.0,0.8,6,60.87000000000001
2012,1,1,12,30,272.0,154.0,299.0,0.5,7,66.86
2012,1,1,13,30,143.0,100.0,166.0,0.7000000000000001,8,75.09
2012,1,1,14,30,61.0,29.0,363.0,1.0,8,84.9
2012,1,1,15,30,0.0,0.0,0.0,0.9,7,95.77
2012,1,1,16,30,0.0,0.0,0.0,0.6000000000000001,6,107.35
2012,1,1,17,30,0.0,0.0,0.0,0.7000000000000001,4,119.39
2012,1,1,18,30,0.0,0.0,0.0,1.0,2,131.68
2012,1,1,19,30,0.0,0.0,0.0,1.2000000000000002,1,143.99
2012,1,1,20,30,0.0,0.0,0.0,1.3,0,155.91
2012,1,1,21,30,0.0,0.0,0.0,1.3,0,165.87
2012,1,1,22,30,0.0,0.0,0.0,1.3,0,167.33
2012,1,1,23,30,0.0,0.0,0.0,1.2000000000000002,0,158.45000000000005
2012,1,2,0,30,0.0,0.0,0.0,0.9,0,146.76
2012,1,2,1,30,0.0,0.0,0.0,0.4,0,134.48
2012,1,2,2,30,0.0,0.0,0.0,0.4,0,122.16
2012,1,2,3,30,0.0,0.0,0.0,0.8,-1,110.04
2012,1,2,4,30,0.0,0.0,0.0,1.0,-2,98.33
2012,1,2,5,30,0.0,0.0,0.0,0.9,-3,87.26
2012,1,2,6,30,5.0,5.0,0.0,0.8,-3,77.16
2012,1,2,7,30,133.0,131.0,6.0,0.6000000000000001,-2,68.51
2012,1,2,8,30,370.0,172.0,421.0,0.6000000000000001,-1,61.93
2012,1,2,9,30,309.0,240.0,129.0,1.5,1,58.15
2012,1,2,10,30,244.0,222.0,42.0,2.6,4,57.73
2012,1,2,11,30,385.0,188.0,403.0,3.3000000000000003,7,60.75
2012,1,2,12,30,224.0,169.0,140.0,3.7,8,66.73
2012,1,2,13,30,189.0,79.0,423.0,3.9000000000000004,9,74.95
2012,1,2,14,30,23.0,23.0,0.0,3.8000000000000003,10,84.76
2012,1,2,15,30,0.0,0.0,0.0,2.9000000000000004,9,95.63
2012,1,2,16,30,0.0,0.0,0.0,1.7000000000000002,6,107.22
2012,1,2,17,30,0.0,0.0,0.0,1.5,3,119.25
2012,1,2,18,30,0.0,0.0,0.0,1.9000000000000001,1,131.54
2012,1,2,19,30,0.0,0.0,0.0,2.3000000000000003,1,143.85
2012,1,2,20,30,0.0,0.0,0.0,2.7,1,155.77
2012,1,2,21,30,0.0,0.0,0.0,3.0,0,165.74
2012,1,2,22,30,0.0,0.0,0.0,3.3000000000000003,0,167.28
2012,1,2,23,30,0.0,0.0,0.0,3.5,0,158.48
2012,1,3,0,30,0.0,0.0,0.0,3.8000000000000003,0,146.81
2012,1,3,1,30,0.0,0.0,0.0,4.1000000000000005,0,134.53
2012,1,3,2,30,0.0,0.0,0.0,4.4,0,122.21
2012,1,3,3,30,0.0,0.0,0.0,4.6000000000000005,-1,110.09
2012,1,3,4,30,0.0,0.0,0.0,4.9,-1,98.37
2012,1,3,5,30,31.0,17.0,286.0,5.0,-2,87.28
2012,1,3,6,30,84.0,81.0,14.0,5.1000000000000005,-2,77.17
2012,1,3,7,30,200.0,154.0,124.0,5.2,-1,68.49
2012,1,3,8,30,413.0,128.0,603.0,5.300000000000001,0,61.88
2012,1,3,9,30,556.0,69.0,920.0,5.0,3,58.07
2012,1,3,10,30,564.0,70.0,922.0,4.9,7,57.63
2012,1,3,11,30,506.0,73.0,883.0,5.0,11,60.62000000000001
2012,1,3,12,30,393.0,67.0,821.0,5.0,14,66.59
2012,1,3,13,30,237.0,55.0,694.0,4.7,16,74.81
2012,1,3,14,30,47.0,33.0,157.0,4.0,17,84.61
2012,1,3,15,30,0.0,0.0,0.0,2.4000000000000004,16,95.49
2012,1,3,16,30,0.0,0.0,0.0,1.3,13,107.08
2012,1,3,17,30,0.0,0.0,0.0,1.1,11,119.12
2012,1,3,18,30,0.0,0.0,0.0,1.0,10,131.4
2012,1,3,19,30,0.0,0.0,0.0,1.1,8,143.71
2012,1,3,20,30,0.0,0.0,0.0,1.4000000000000001,6,155.62
2012,1,3,21,30,0.0,0.0,0.0,1.7000000000000002,4,165.6
2012,1,3,22,30,0.0,0.0,0.0,2.2,4,167.23
2012,1,3,23,30,0.0,0.0,0.0,3.1,4,158.51
2012,1,4,0,30,0.0,0.0,0.0,4.0,5,146.85
2012,1,4,1,30,0.0,0.0,0.0,4.4,4,134.58
2012,1,4,2,30,0.0,0.0,0.0,4.5,4,122.26
2012,1,4,3,30,0.0,0.0,0.0,4.5,3,110.13
2012,1,4,4,30,0.0,0.0,0.0,4.3,3,98.4
2012,1,4,5,30,29.0,18.0,234.0,4.1000000000000005,2,87.3
2012,1,4,6,30,194.0,51.0,640.0,4.0,2,77.17
2012,1,4,7,30,358.0,68.0,790.0,4.2,1,68.47
2012,1,4,8,30,487.0,71.0,882.0,4.5,2,61.83
2012,1,4,9,30,468.0,153.0,595.0,4.6000000000000005,4,57.99
2012,1,4,10,30,565.0,80.0,903.0,4.5,7,57.52
2012,1,4,11,30,509.0,79.0,873.0,4.1000000000000005,10,60.49
2012,1,4,12,30,397.0,73.0,811.0,3.7,11,66.45
2012,1,4,13,30,151.0,103.0,182.0,3.4000000000000004,12,74.67
2012,1,4,14,30,67.0,32.0,366.0,3.0,13,84.47
2012,1,4,15,30,0.0,0.0,0.0,2.0,12,95.34
2012,1,4,16,30,0.0,0.0,0.0,1.2000000000000002,9,106.93
2012,1,4,17,30,0.0,0.0,0.0,1.1,7,118.97
2012,1,4,18,30,0.0,0.0,0.0,1.2000000000000002,6,131.26
2012,1,4,19,30,0.0,0.0,0.0,1.4000000000000001,4,143.57
2012,1,4,20,30,0.0,0.0,0.0,1.5,3,155.48
2012,1,4,21,30,0.0,0.0,0.0,1.6,2,165.45000000000005
2012,1,4,22,30,0.0,0.0,0.0,1.8,1,167.17000000000004
2012,1,4,23,30,0.0,0.0,0.0,2.0,1,158.53
2012,1,5,0,30,0.0,0.0,0.0,2.2,0,146.89
2012,1,5,1,30,0.0,0.0,0.0,2.4000000000000004,0,134.63
2012,1,5,2,30,0.0,0.0,0.0,2.6,0,122.3
2012,1,5,3,30,0.0,0.0,0.0,2.7,0,110.17
2012,1,5,4,30,0.0,0.0,0.0,2.7,0,98.42
2012,1,5,5,30,28.0,18.0,213.0,2.5,0,87.31
2012,1,5,6,30,189.0,51.0,617.0,2.3000000000000003,-1,77.16
2012,1,5,7,30,352.0,67.0,775.0,2.3000000000000003,0,68.44
2012,1,5,8,30,479.0,73.0,858.0,3.0,2,61.77
2012,1,5,9,30,550.0,78.0,889.0,3.6,6,57.9
2012,1,5,10,30,560.0,79.0,893.0,3.4000000000000004,10,57.4
2012,1,5,11,30,507.0,76.0,870.0,4.1000000000000005,13,60.36
2012,1,5,12,30,396.0,70.0,811.0,4.9,16,66.3
2012,1,5,13,30,240.0,57.0,683.0,5.2,17,74.52
2012,1,5,14,30,69.0,31.0,384.0,5.0,17,84.32000000000002
2012,1,5,15,30,0.0,0.0,0.0,3.8000000000000003,15,95.2
2012,1,5,16,30,0.0,0.0,0.0,2.5,11,106.79
2012,1,5,17,30,0.0,0.0,0.0,2.4000000000000004,8,118.83
2012,1,5,18,30,0.0,0.0,0.0,2.8000000000000003,6,131.12
2012,1,5,19,30,0.0,0.0,0.0,3.4000000000000004,5,143.43
2012,1,5,20,30,0.0,0.0,0.0,4.0,5,155.33
2012,1,5,21,30,0.0,0.0,0.0,4.6000000000000005,4,165.3
2012,1,5,22,30,0.0,0.0,0.0,4.800000000000001,4,167.1
2012,1,5,23,30,0.0,0.0,0.0,4.800000000000001,3,158.54
2012,1,6,0,30,0.0,0.0,0.0,4.6000000000000005,2,146.92000000000004
2012,1,6,1,30,0.0,0.0,0.0,4.4,1,134.67000000000002
