,Solar generation (kW),Generic generation (kW)
0,-0.0,0.0
1,-0.0,0.0
2,-0.0,0.0
3,-0.0,0.0
4,-0.0,0.0
5,-0.0,0.0
6,-0.0,0.0
7,-0.0,0.0
8,197705.64631112097,197705.64631112097
9,118659.68938656914,118659.68938656914
10,118075.00250101948,118075.00250101948
11,117226.92096006619,117226.92096006619
12,113120.29212682016,113120.29212682016
13,66463.29670357765,66463.29670357765
14,85428.25373220544,85428.25373220544
15,-0.0,0.0
16,-0.0,0.0
17,-0.0,0.0
18,-0.0,0.0
19,-0.0,0.0
20,-0.0,0.0
21,-0.0,0.0
22,-0.0,0.0
23,-0.0,0.0
24,-0.0,0.0
25,-0.0,0.0
26,-0.0,0.0
27,-0.0,0.0
28,-0.0,0.0
29,-0.0,0.0
30,-0.0,0.0
31,-0.0,0.0
32,111963.59434093855,111963.59434093855
33,106753.13117713087,106753.13117713087
34,72805.88519312633,72805.88519312633
35,145828.09965485375,145828.09965485375
36,79372.2743442629,79372.2743442629
37,126826.65084874204,126826.65084874204
38,3494.4271445181316,3494.4271445181316
39,-0.0,0.0
40,-0.0,0.0
41,-0.0,0.0
42,-0.0,0.0
43,-0.0,0.0
44,-0.0,0.0
45,-0.0,0.0
46,-0.0,0.0
47,-0.0,0.0
48,-0.0,0.0
49,-0.0,0.0
50,-0.0,0.0
51,-0.0,0.0
52,-0.0,0.0
53,-0.0,0.0
54,-0.0,0.0
55,-0.0,0.0
56,72397.6470815407,72397.6470815407
57,159195.0965438783,159195.0965438783
58,201552.013812781,201552.013812781
59,216305.6978101508,216305.6978101508
60,209723.84202237148,209723.84202237148
61,174315.2584556039,174315.2584556039
62,43546.21651156769,43546.21651156769
63,-0.0,0.0
64,-0.0,0.0
65,-0.0,0.0
66,-0.0,0.0
67,-0.0,0.0
68,-0.0,0.0
69,-0.0,0.0
70,-0.0,0.0
71,-0.0,0.0
72,-0.0,0.0
73,-0.0,0.0
74,-0.0,0.0
75,-0.0,0.0
76,-0.0,0.0
77,-0.0,0.0
78,-0.0,0.0
79,-0.0,0.0
80,82452.26133388023,82452.26133388023
81,135486.7790417672,135486.7790417672
82,200351.33300905608,200351.33300905608
83,217337.29710782852,217337.29710782852
84,209952.8654906735,209952.8654906735
85,71076.89862514014,71076.89862514014
86,88175.44574752342,88175.44574752342
87,-0.0,0.0
88,-0.0,0.0
89,-0.0,0.0
90,-0.0,0.0
91,-0.0,0.0
92,-0.0,0.0
93,-0.0,0.0
94,-0.0,0.0
95,-0.0,0.0
96,-0.0,0.0
97,-0.0,0.0
98,-0.0,0.0
99,-0.0,0.0
100,-0.0,0.0
101,-0.0,0.0
102,-0.0,0.0
103,-0.0,0.0
104,80157.25581092139,80157.25581092139
105,155199.42151128984,155199.42151128984
106,194208.08611015708,194208.08611015708
107,213261.80683382772,213261.80683382772
108,206845.91502827284,206845.91502827284
109,172615.77691663138,172615.77691663138
110,89691.09834956838,89691.09834956838
111,-0.0,0.0
112,-0.0,0.0
113,-0.0,0.0
114,-0.0,0.0
115,-0.0,0.0
116,-0.0,0.0
117,-0.0,0.0
118,-0.0,0.0
119,-0.0,0.0
120,-0.0,0.0
121,-0.0,0.0
122,-0.0,0.0
123,-0.0,0.0
124,-0.0,0.0
125,-0.0,0.0
126,-0.0,0.0
127,-0.0,0.0
128,81211.60048107915,81211.60048107915
129,157626.64761515823,157626.64761515823
130,199043.35095739723,199043.35095739723
131,216450.85778148315,216450.85778148315
132,212086.89219658106,212086.89219658106
133,175763.70938277742,175763.70938277742
134,83461.81506188757,83461.81506188757
135,-0.0,0.0
136,-0.0,0.0
137,-0.0,0.0
138,-0.0,0.0
139,-0.0,0.0
140,-0.0,0.0
141,-0.0,0.0
142,-0.0,0.0
143,-0.0,0.0
144,-0.0,0.0
145,-0.0,0.0
146,-0.0,0.0
147,-0.0,0.0
148,-0.0,0.0
149,-0.0,0.0
150,-0.0,0.0
151,-0.0,0.0
152,80677.41022058179,80677.41022058179
153,156046.55396831754,156046.55396831754
154,200449.67856772814,200449.67856772814
155,219361.9867313716,219361.9867313716
156,216602.60616869698,216602.60616869698
157,185491.02606090336,185491.02606090336
158,103925.15336650117,103925.15336650117
159,-0.0,0.0
160,-0.0,0.0
161,-0.0,0.0
162,-0.0,0.0
163,-0.0,0.0
164,-0.0,0.0
165,-0.0,0.0
166,-0.0,0.0
167,-0.0,0.0
168,-0.0,0.0
169,-0.0,0.0
170,-0.0,0.0
171,-0.0,0.0
172,-0.0,0.0
173,-0.0,0.0
174,-0.0,0.0
175,-0.0,0.0
176,82580.08410693312,82580.08410693312
177,138131.20617441388,138131.20617441388
178,205470.025333458,205470.025333458
179,224610.8271463156,224610.8271463156
180,219124.56519183,219124.56519183
181,185940.33285926408,185940.33285926408
182,104137.82047753081,104137.82047753081
183,-0.0,0.0
184,-0.0,0.0
185,-0.0,0.0
186,-0.0,0.0
187,-0.0,0.0
188,-0.0,0.0
189,-0.0,0.0
190,-0.0,0.0
191,-0.0,0.0
192,-0.0,0.0
193,-0.0,0.0
194,-0.0,0.0
195,-0.0,0.0
196,-0.0,0.0
197,-0.0,0.0
198,-0.0,0.0
199,-0.0,0.0
200,81909.49028427822,81909.49028427822
201,158961.56509503355,158961.56509503355
202,205248.69504689678,205248.69504689678
203,224475.67466347796,224475.67466347796
204,219004.34258526255,219004.34258526255
205,187382.77837752627,187382.77837752627
206,108853.06312928323,108853.06312928323
207,-0.0,0.0
208,-0.0,0.0
209,-0.0,0.0
210,-0.0,0.0
211,-0.0,0.0
212,-0.0,0.0
213,-0.0,0.0
214,-0.0,0.0
215,-0.0,0.0
216,-0.0,0.0
217,-0.0,0.0
218,-0.0,0.0
219,-0.0,0.0
220,-0.0,0.0
221,-0.0,0.0
222,-0.0,0.0
223,-0.0,0.0
224,81639.73501142756,81639.73501142756
225,159126.19245282788,159126.19245282788
226,201765.34645291,201765.34645291
227,177796.9115496893,177796.9115496893
228,202642.96772941027,202642.96772941027
229,75055.72123791283,75055.72123791283
230,3439.0573176244866,3439.0573176244866
231,-0.0,0.0
232,-0.0,0.0
233,-0.0,0.0
234,-0.0,0.0
235,-0.0,0.0
236,-0.0,0.0
237,-0.0,0.0
238,-0.0,0.0
239,-0.0,0.0
240,-0.0,0.0
241,-0.0,0.0
242,-0.0,0.0
243,-0.0,0.0
244,-0.0,0.0
245,-0.0,0.0
246,-0.0,0.0
247,-0.0,0.0
248,110401.21742236886,110401.21742236886
249,133925.42535683286,133925.42535683286
250,162300.33293821994,162300.33293821994
251,164570.27179181238,164570.27179181238
252,182265.78925580095,182265.78925580095
253,115147.38495142155,115147.38495142155
254,35663.65737905084,35663.65737905084
255,-0.0,0.0
256,-0.0,0.0
257,-0.0,0.0
258,-0.0,0.0
259,-0.0,0.0
260,-0.0,0.0
261,-0.0,0.0
262,-0.0,0.0
263,-0.0,0.0
264,-0.0,0.0
265,-0.0,0.0
266,-0.0,0.0
267,-0.0,0.0
268,-0.0,0.0
269,-0.0,0.0
270,-0.0,0.0
271,-0.0,0.0
272,82650.42238012874,82650.42238012874
273,162163.73204172714,162163.73204172714
274,207650.3524297359,207650.3524297359
275,230479.08194974664,230479.08194974664
276,226134.67510098004,226134.67510098004
277,193355.41222230397,193355.41222230397
278,111510.02654026063,111510.02654026063
279,-0.0,0.0
280,-0.0,0.0
281,-0.0,0.0
282,-0.0,0.0
283,-0.0,0.0
284,-0.0,0.0
285,-0.0,0.0
286,-0.0,0.0
287,-0.0,0.0
288,-0.0,0.0
289,-0.0,0.0
290,-0.0,0.0
291,-0.0,0.0
292,-0.0,0.0
293,-0.0,0.0
294,-0.0,0.0
295,-0.0,0.0
296,85435.9438211448,85435.9438211448
297,166116.865806573,166116.865806573
298,211245.93887342358,211245.93887342358
299,233644.99929002213,233644.99929002213
300,233137.01709607578,233137.01709607578
301,203860.5139184856,203860.5139184856
302,128352.05775752418,128352.05775752418
303,-0.0,0.0
304,-0.0,0.0
305,-0.0,0.0
306,-0.0,0.0
307,-0.0,0.0
308,-0.0,0.0
309,-0.0,0.0
310,-0.0,0.0
311,-0.0,0.0
312,-0.0,0.0
313,-0.0,0.0
314,-0.0,0.0
315,-0.0,0.0
316,-0.0,0.0
317,-0.0,0.0
318,-0.0,0.0
319,-0.0,0.0
320,184279.44488526933,184279.44488526933
321,129302.92349494736,129302.92349494736
322,121721.4745451895,121721.4745451895
323,115143.95605636967,115143.95605636967
324,98894.85919823978,98894.85919823978
325,136115.93623435145,136115.93623435145
