,Scenario Description,Solar (%),Solar (MW),Wind (MW),AEP (GWh),Solar AEP (GWh),Wind AEP (GWh),Solar Capacity Factor,Capacity Factor,Wind Capacity Factor (SAM),Wind Capacity Factor (manual),Capacity Factor of Interconnect,NPV ($-million),IRR (%),PPA Price Used,TOD Profile Used,Revenue (PPA),Revenue (TOD),BOS Cost
0,Variable Ratio Wind:Solar - 100MW,0.0,0,300,715.7598517354741,,715.7598517354741,,40.853872815951725,40.853872815951725,27.235915210634477,27.235915210634477,-16.07229614688867,5.687428082582028,0.04,N/A,697278168.7456973,808613931.51556,443894263.2
1,Variable Ratio Wind:Solar - 100MW,1.0,3,297,712.4322874622881,3.8300190905047873,708.6022683717837,14.573893038450484,40.567795644237485,40.85387368962362,27.109295565536073,27.109295565536073,-20.624049539108096,5.440005506229906,0.04,N/A,692955106.0395187,804854689.0506599,445424263.2
2,Variable Ratio Wind:Solar - 100MW,2.0,6,294,709.1051254391377,7.660440431053394,701.4446850080851,14.574658354363386,40.282892501071224,40.853874581125076,26.98269122675562,26.98269122675562,-22.845878643713714,5.3173487668923825,0.04,N/A,688632310.772753,801095901.0188901,444854263.2
3,Variable Ratio Wind:Solar - 100MW,3.0,9,291,705.7779633986801,11.490861754286557,694.2871016443945,14.57491343770492,39.99933307948233,40.85387549100848,26.856086887316593,26.856086887316593,-26.28974905976656,5.130115013425177,0.04,N/A,684309515.4973183,797337112.9675584,445334263.2
4,Variable Ratio Wind:Solar - 100MW,4.0,12,288,702.4508013570547,15.32128307635407,687.1295182806986,14.575040978266811,39.71710789641782,40.853876419847474,26.729482547833133,26.729482547833133,-27.725395644346772,5.049850695533709,0.04,N/A,679986720.2222109,793578324.9149096,444494263.2
5,Variable Ratio Wind:Solar - 100MW,5.0,15,285,699.1232454982411,19.151310581234377,679.9719349170077,14.574817793937884,39.436185342549166,40.85387736824127,26.602863222916326,26.602863222916326,-31.65799942648348,4.840917123193629,0.04,N/A,675663648.7186732,789819091.9559652,444644263.2
6,Variable Ratio Wind:Solar - 100MW,6.0,18,282,695.7960834590149,22.98173190570445,672.8143515533127,14.574918763130677,39.15660059202285,40.85387833681341,26.47625888352416,26.47625888352416,-34.435790760098726,4.6935367971789645,0.04,N/A,671340853.4451174,786060303.9060308,444794263.2
7,Variable Ratio Wind:Solar - 100MW,7.000000000000001,21,279,692.4689214215688,26.81215323195039,665.6567681896191,14.57499088494803,38.878322158115594,40.85387932621516,26.349654544199723,26.349654544199723,-37.071144595376076,4.552746423832164,0.04,N/A,667018058.1727754,782301515.8581026,444944263.2
8,Variable Ratio Wind:Solar - 100MW,8.0,24,276,689.1417593853873,30.642574559464983,658.4991848259228,14.575044976914471,38.60134090679353,40.85388033712545,26.223050204923414,26.223050204923414,-39.77985540659636,4.4098555494011915,0.04,N/A,662695262.9014812,778542727.8116076,445094263.2
9,Variable Ratio Wind:Solar - 100MW,9.0,27,273,685.8142035350936,34.47260207286389,651.3416014622296,14.57492054492808,38.3256257812692,40.85388137025375,26.09643088033081,26.09643088033081,-43.035389598306146,4.240444899561336,0.04,N/A,658372191.4047304,774783494.8622879,445244263.2
10,Variable Ratio Wind:Solar - 100MW,10.0,30,270,682.4870414977429,38.303023399203404,644.1840180985362,14.574970852056092,38.05121188279739,40.85388242634045,25.96982654101,25.96982654101,-46.29024079821485,4.072300227147964,0.04,N/A,654049396.1326438,771024706.8144649,445394263.2
