,Scenario Description,Solar (%),Solar (MW),Wind (MW),AEP (GWh),Solar AEP (GWh),Wind AEP (GWh),Solar Capacity Factor,Capacity Factor,Wind Capacity Factor (SAM),Wind Capacity Factor (manual),Capacity Factor of Interconnect,NPV ($-million),IRR (%),PPA Price Used,TOD Profile Used,Revenue (PPA),Revenue (TOD),BOS Cost
0,Variable Ratio Wind:Solar - 100MW,0.0,0,300,216.9012659990966,N/A,216.9012659990966,N/A,12.380209246523778,12.380209246523778,8.253472831015852,8.253472831015852,-278.2215904711468,-8.214302256011583,0.04,N/A,219275443.443286,245039429.11155388,443894263.2
1,Variable Ratio Wind:Solar - 100MW,1.0,3,297,220.2893294414098,5.543962973821266,214.74536646758932,21.095749519867834,12.54386228229202,12.38096527302646,8.38239457539611,8.38239457539611,-279.2679730079217,-8.18576835378435,0.04,N/A,221420062.22025752,248867019.18058473,445424263.2
2,Variable Ratio Wind:Solar - 100MW,2.0,6,294,223.67793468869377,11.088543059308064,212.5893916293849,21.096923628820516,12.706711423565418,12.38173234259301,8.511336936403872,8.511336936403872,-278.3526452751785,-8.118074406091448,0.04,N/A,223565060.784513,252695221.3418483,444854263.2
3,Variable Ratio Wind:Solar - 100MW,3.0,9,291,227.06646336089017,16.633123175915763,210.4333401849751,21.097315037944906,12.868788160252866,12.382510720294633,8.640276383595516,8.640276383595516,-278.4033669377352,-8.068871459091008,0.04,N/A,225709991.926009,256523336.9940958,445334263.2
4,Variable Ratio Wind:Solar - 100MW,4.0,12,288,230.45491740409796,22.177703296431194,208.27721410766657,21.097510746224504,13.030098054007567,12.383300876835198,8.769212991023513,8.769212991023513,-277.3384695335067,-7.998373474982358,0.04,N/A,227854858.11831987,260351368.3358846,444494263.2
5,Variable Ratio Wind:Solar - 100MW,5.0,15,285,233.84273881517382,27.72172552191479,206.12101329325907,21.09720359354246,13.190615028616884,12.384103177917511,8.898125525691546,8.898125525691546,-277.1455579955239,-7.948496055366541,0.04,N/A,229999212.08632165,264178684.97545332,444644263.2
6,Variable Ratio Wind:Solar - 100MW,6.0,18,282,237.2310423819691,33.26630562954938,203.96473675241938,21.097352631626954,13.350407390051336,12.38491795106015,9.027056407228656,9.027056407228656,-276.80130697817395,-7.893555890316356,0.04,N/A,232143948.4346399,268006546.31982884,444794263.2
7,Variable Ratio Wind:Solar - 100MW,7.000000000000001,21,279,240.6192691283456,38.81088573710944,201.80838339123636,21.097459087361077,13.509448833339016,12.385745531450164,9.155984365614367,9.155984365614367,-276.654404009622,-7.848120622925442,0.04,N/A,234288618.85376948,271834320.87802935,444944263.2
8,Variable Ratio Wind:Solar - 100MW,8.0,24,276,244.0074170005792,44.35546584466736,199.65195115591112,21.097538929160656,13.66774449400056,12.38658620929566,9.284909322700884,9.284909322700884,-276.3515805877105,-7.797506523920051,0.04,N/A,236433222.59018844,275662006.3299017,445094263.2
9,Variable Ratio Wind:Solar - 100MW,9.0,27,273,247.39492626809803,49.89948805270257,197.4954382153954,21.097365149967267,13.82526829491456,12.387440301532655,9.413809979760199,9.413809979760199,-275.8969750200131,-7.74090203905741,0.04,N/A,238577310.70793787,279488970.3321613,445244263.2
10,Variable Ratio Wind:Solar - 100MW,10.0,30,270,250.7829112180139,55.444068158907776,195.33884305910485,21.097438416631576,13.9820877337097,12.388308159506906,9.542728737367348,9.542728737367348,-275.65332080843007,-7.693161376471924,0.04,N/A,240721777.3582718,283316471.72613263,445394263.2
11,Variable Ratio Wind:Solar - 100MW,11.0,33,267,254.17081137952763,60.98864826511402,193.1821631144131,21.097498362084554,14.138176525194176,12.389190082243928,9.671644268627382,9.671644268627382,-275.25231576418804,-7.639182632057031,0.04,N/A,242866172.72697848,287143877.3322748,445544263.2
12,Variable Ratio Wind:Solar - 100MW,12.0,36,264,257.5586251693009,66.53322837132067,191.0253967979808,21.09754831662883,14.293539643129316,12.390086446527397,9.800556513291511,9.800556513291511,-275.06720643246945,-7.594107265894704,0.04,N/A,245010495.66236624,290971185.36184627,445694263.2
13,Variable Ratio Wind:Solar - 100MW,13.0,39,261,260.94634994727016,72.07780847752726,188.86854146974247,21.097590585858583,14.448181956931467,12.39099757713631,9.929465370900692,9.929465370900692,-274.7194349791034,-7.542556309037179,0.04,N/A,247154744.5279576,294798392.83229095,445844263.2
14,Variable Ratio Wind:Solar - 100MW,14.000000000000002,42,258,264.3334249096805,77.62183068341008,186.71159422627076,21.097475180313676,14.602077457652129,12.391923796476503,10.05834950189043,10.05834950189043,-274.34454212523747,-7.494833968134684,0.04,N/A,249298469.91835788,298624866.18791735,445994263.2
15,Variable Ratio Wind:Solar - 100MW,15.0,45,255,267.7209638175345,83.16641078970287,184.55455302783201,21.09751668942234,14.75529266763865,12.392865500123019,10.187251286816382,10.187251286816382,-274.06179876435675,-7.445035988212828,0.04,N/A,251442565.79150724,302451863.6756921,446144263.2
16,Variable Ratio Wind:Solar - 100MW,16.0,48,252,271.1084064666111,88.7109908959957,182.39741557061376,21.097553009892433,14.907801451838372,12.39382308454377,10.316149408927362,10.316149408927362,-273.74949958029976,-7.398910818918505,0.04,N/A,253586582.95937547,306278752.41723096,446294263.2
17,Variable Ratio Wind:Solar - 100MW,17.0,51,249,274.4957529654349,94.25557100228879,180.24018196314663,21.0975850573661,15.059608654179721,12.3947971312061,10.445043872352928,10.445043872352928,-268.3097238013365,-7.246537193546186,0.04,N/A,255730521.11530593,310105532.53514206,440324263.2
18,Variable Ratio Wind:Solar - 100MW,18.0,54,246,277.8824540918434,99.79959321546498,178.08286087637813,21.09749560617812,15.210689005277617,12.395788845944574,10.57391377822844,10.57391377822844,-267.752124824923,-7.195892352104778,0.04,N/A,257873937.05776417,313931583.55777633,440114263.2
19,Variable Ratio Wind:Solar - 100MW,19.0,57,243,281.26962312787066,105.34417332171522,175.92544980615534,21.097527301473047,15.361108260554328,12.396798706674232,10.702801488883967,10.702801488883967,-267.1639449683902,-7.148959810280808,0.04,N/A,260017724.80221105,317758163.1909994,439904263.2
20,Variable Ratio Wind:Solar - 100MW,20.0,60,240,284.6567008259881,110.88875342796536,173.7679473980235,21.097555827238462,15.510840443549801,12.397827297233412,10.83168572397215,10.83168572397215,-266.6728376804963,-7.099854921542156,0.04,N/A,262161435.69400945,321584639.63723093,439694263.2
